type,director,cast,date_added,year_added,release_year,duration,listed_in,Type,Netflix Exclusive,Score
Movie,Michael Kennedy,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke","April 10, 2019",2019,2018,105 min,"Comedies, Romantic Movies",,,
Movie,Robert McCullough Jr.,,"December 1, 2016",2016,2016,56 min,"Documentaries, Sports Movies",,,
Movie,Cristina Jacob,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu","June 1, 2019",2019,2014,125 min,"Comedies, Dramas, International Movies",,,
Movie,Cristina Jacob,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut","June 1, 2019",2019,2016,119 min,"Comedies, Dramas, International Movies",,,
Movie,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis","September 8, 2017",2017,2017,99 min,Comedies,,,
Movie,,"Lee Dixon, Ian Wright, Paul Merson","May 16, 2018",2018,2017,87 min,Sports Movies,,,
Movie,"Lyric R. Cabral, David Felix Sutcliffe",,"June 30, 2016",2016,2015,84 min,Documentaries,,,
Movie,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride","July 1, 2017",2017,2014,89 min,"Dramas, Romantic Movies",,,
Movie,Leif Tilden,"Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote","July 7, 2017",2017,2017,105 min,"Dramas, Romantic Movies, Sports Movies",,,
Movie,Adze Ugah,"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.","October 18, 2019",2019,2017,87 min,"Comedies, International Movies, Romantic Movies",,,
Movie,Nicolas Brossette,"Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie","July 1, 2017",2017,2012,97 min,"Comedies, Dramas, International Movies",,,
Movie,Roland Emmerich,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif","June 1, 2019",2019,2008,109 min,Action & Adventure,,,
Movie,,,"July 6, 2018",2018,2018,93 min,"Documentaries, International Movies",,,
Movie,Marcel Barrena,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer","March 10, 2017",2017,2016,109 min,"Dramas, International Movies, Sports Movies",,,
Movie,,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena, Brady Reiter, Lisa Arch, Stephanie Escajeda","November 2, 2019",2019,2014,44 min,Movies,,,
Movie,Melinda Janko,,"March 20, 2018",2018,2016,75 min,Documentaries,,,
Movie,Shrihari Sathe,"Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad","December 1, 2016",2016,2014,89 min,"Dramas, International Movies",,,
Movie,Sam Upton,"Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone","March 14, 2019",2019,2017,90 min,"Dramas, Independent Movies, Sports Movies",,,
Movie,Victor Zarcoff,"PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault","August 13, 2016",2016,2015,90 min,"Horror Movies, Independent Movies, Thrillers",,,
Movie,Daniel Stamm,"Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince","January 13, 2019",2019,2014,93 min,"Horror Movies, Thrillers",,,
Movie,Ava DuVernay,,"October 7, 2016",2016,2016,101 min,Documentaries,,,
Movie,,"Oprah Winfrey, Ava DuVernay","January 26, 2017",2017,2017,37 min,Movies,,,
Movie,Daniel Lee,"Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu","April 3, 2019",2019,2010,113 min,"Action & Adventure, International Movies",,,
Movie,"Scott Hussion, Seth Fuller","Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief","October 27, 2018",2018,2018,89 min,"Horror Movies, Thrillers",,,
Movie,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",,"February 1, 2019",2019,2016,84 min,Documentaries,,,
Movie,Swapnaneel Jayakar,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar","March 29, 2019",2019,2019,124 min,"Comedies, Dramas, Independent Movies",,,
Movie,Richard Donner,"Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz","November 1, 2019",2019,2006,102 min,Action & Adventure,,,
Movie,Kevin Reynolds,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana","November 1, 2019",2019,1997,119 min,Dramas,,,
Movie,Salvador Calvo,"Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde, Carlos Hipólito, Ricardo Gómez, Patrick Criado, Eduard Fernández, Miguel Herrán, Emilio Palacios","June 2, 2017",2017,2016,130 min,"Dramas, International Movies",,,
Movie,Vikram Bhatt,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas","December 15, 2017",2017,2008,143 min,"Horror Movies, International Movies, Thrillers",,,
Movie,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough","October 20, 2017",2017,2017,103 min,"Dramas, Thrillers",,,
Movie,Raymond Wood,"Hayley Lovitt, Teddy Cole, Brook Todd, Ace Harney, Jason Macdonald","July 26, 2019",2019,2018,94 min,"Horror Movies, Independent Movies",,,
Movie,Abhishek Varman,"Alia Bhatt, Arjun Kapoor, Ronit Roy, Amrita Singh, Revathy, Aru Krishansh Verma","August 4, 2018",2018,2014,143 min,"Comedies, Dramas, International Movies",,,
Movie,Nottapon Boonprakob,Artiwara Kongmalai,"March 1, 2019",2019,2018,89 min,"Documentaries, International Movies, Sports Movies",,,
Movie,Morgan Neville,"Darlene Love, Merry Clayton, Lisa Fischer, Táta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega","September 22, 2018",2018,2013,91 min,"Documentaries, Music & Musicals",,,
Movie,,"4Minute, B1A4, BtoB, ELSIE, EXID, EXO, Got7, INFINITE, KARA, Shinee, Sistar, VIXX, Nine Muses, BTS, Secret, Topp Dogg","April 28, 2017",2017,2015,107 min,"International Movies, Music & Musicals",,,
Movie,Hasraf Dulull,"Katee Sackhoff, Ray Fearon, Julie Cox, Steven Cree, David Tse, Joe David Walters","December 20, 2018",2018,2018,95 min,Sci-Fi & Fantasy,,,
Movie,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Lucas Jade Zumann, Billy Crudup","June 28, 2019",2019,2016,119 min,"Dramas, Independent Movies",,,
Movie,Robert Luketic,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin","January 1, 2020",2020,2008,123 min,Dramas,,,
Movie,"Jon Lucas, Scott Moore","Miles Teller, Skylar Astin, Justin Chon, Sarah Wright, Jonathan Keltz, François Chau, Russell Hodgkinson, Daniel Booko, Russell Mercado, Josie Loren, Dustin Ybarra","April 16, 2019",2019,2013,93 min,Comedies,,,
Movie,Paul Greengrass,"Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith","October 10, 2018",2018,2018,144 min,"Dramas, Thrillers",,,
Movie,Joey Curtis,"Paul Sidhu, Arielle Holmes, Branden Coles, Kelcey Watson, Anne-Solenne Hatte, Brad Potts, Timothy Lee DePriest, Fernando Argosino, Duchess Dukes, Harwood Gordon, Stormi Henley","March 1, 2018",2018,2016,101 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",,,
Movie,Gilbert Chan,"Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim","December 20, 2018",2018,2011,78 min,"Horror Movies, International Movies",,,
Movie,Brian Smrz,"Ethan Hawke, Xu Qing, Paul Anderson, Rutger Hauer, Tyrone Keogh, Nathalie Boltt, Liam Cunningham","April 7, 2018",2018,2017,93 min,Action & Adventure,,,
Movie,Simranjit Singh Hundal,"Guggu Gill, Yograj Singh, Sonia Mann, Jimmy Sharma, Sapna Bassi, Lakha Lakhwinder Singh, Sandeep Kaur Sandy, Sardar Sohi","October 1, 2018",2018,2016,140 min,"Action & Adventure, Dramas, International Movies",,,
Movie,Geun-hyun Cho,"Goo Jin, Hye-jin Han, Soo-bin Bae, Seul-ong Im, Kyeong-yeong Lee, Gwang Jang, Deok-jae Jo, Eui-sung Kim, Seok-Hwan An, Bok-gi Min","October 1, 2017",2017,2012,135 min,"Dramas, International Movies, Thrillers",,,
Movie,Nicanor Loreti,"Diego Capusotto, Sofía Gala, Daniel Aráoz, Willy Toledo, El Polaco, Paula Manzone, Yayo Guridi, Guillermo Toledo","May 1, 2018",2018,2018,82 min,"Action & Adventure, Comedies, International Movies",,,
Movie,Simon Napier-Bell,"Janis Joplin, Jimi Hendrix, Amy Winehouse, Jim Morrison, Kurt Cobain","May 1, 2018",2018,2017,70 min,Documentaries,,,
Movie,Nagesh Kukunoor,"Naseeruddin Shah, Jackie Shroff, Juhi Chawla, Nagesh Kukunoor, Gulshan Grover, Aditya Lakhia, Shri Vallabh Vyas","December 31, 2019",2019,2003,121 min,"Dramas, International Movies, Thrillers",,,
Movie,Gaby Dellal,"Elle Fanning, Naomi Watts, Susan Sarandon, Tate Donovan, Linda Emond, Jordan Carlos, Sam Trammell, Maria Dizzia, Tessa Albertson","August 28, 2017",2017,2015,92 min,"Dramas, LGBTQ Movies",,,
Movie,Iman Brotoseno,"Reza Rahadian, Bunga Citra Lestari, Tara Basro, Chelsea Islan","January 5, 2019",2019,2016,124 min,"Dramas, International Movies, Sports Movies",,,
Movie,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey","August 1, 2019",2019,2009,164 min,"Comedies, Dramas, International Movies",,,
Movie,Shazia Javed,,"June 15, 2019",2019,2018,53 min,"Documentaries, Faith & Spirituality",,,
Movie,Sinan Akkuş,"Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina Klüber, Sami Nasser, Kayla Rybicka, Jytte-Merle Böhrnsen, Emrah Erdogru, Tim Grothe, Hülya Duyar","December 15, 2016",2016,2015,93 min,"Comedies, International Movies",,,
Movie,Hani Hamdi,"Taher Farouz, Sad Al-Saghir, Ahmad Faloks, Soleiman Eid, Mahmood El-Laithi, Hesham Ismail, Shaima Saif, Nermin Maher, Sofinar","April 18, 2019",2019,2016,91 min,"Comedies, International Movies",,,
Movie,Maciej Dejczer,"Krzysztof Stroiński, Andrzej Mellin, Adrianna Biedrzyńska, Adrianna Biedrzyńska, Rafał Zimowski, Kama Kowalewska, Wiesław Komasa, Aleksander Bednarz, Jadwiga Jankowska-Cieslak, Wojciech Klata","October 1, 2019",2019,1989,93 min,"Dramas, International Movies",,,
Movie,Jack C. Newell,Jake Bickelhaupt,"February 1, 2018",2018,2017,81 min,Documentaries,,,
Movie,"Marco Deufemia, Justin G. Dyck","Khiyla Aynne, Noah Dyer, Maya Franzoi, Clara Kushnir, Madeline Leon, Liam MacDonald, Matt Schichter, Ethan Yang, Adam Crew","December 20, 2017",2017,2017,84 min,"Children & Family Movies, Comedies",,,
Movie,Gerardo Olivares,"Jean Reno, Hovik Keuchkerian, Susana Abaitua, Juan Dos Santos, Arturo Valls, Enrique San Francisco, Francesc Garrido, Eric Nguyen","July 12, 2019",2019,2019,105 min,"Comedies, Dramas, Independent Movies",,,
Movie,Andrew Nackman,"Evan Todd, Parker Young, Chord Overstreet, Jon Gabrus, Kate Flannery, Brooke Dillman, Jennifer Damiano, Jordan Lane Price, Alex Rennie, Jake Epstein","May 5, 2016",2016,2015,86 min,"Comedies, LGBTQ Movies",,,
Movie,Anggy Umbara,"Ario Bayu, Arifin Putra, Dwi Sasono, Muhadkly Acho, Cornelio Sunny, Tika Bravani, Nirina Zubir, Ganindra Bimo, Verdi Solaiman","January 5, 2019",2019,2017,106 min,"Action & Adventure, Comedies, International Movies",,,
Movie,Richard Loncraine,"Josh Pais, Claire van der Boom, Morgan Freeman, Diane Keaton, Carrie Preston, Cynthia Nixon, Korey Jackson, Diane Ciesla, Michael Cristofer","March 17, 2019",2019,2014,92 min,"Comedies, Dramas, Independent Movies",,,
Movie,Marco Risi,"Massimo Ghini, Ricky Memphis, Martina Stella, Ralph Palka, Biagio Izzo, Riccardo Rossi, Paola Minaccioni","December 7, 2018",2018,2018,96 min,"Comedies, International Movies",,,
Movie,Victor Levin,"Anton Yelchin, Bérénice Marlohe, Olivia Thirlby, Lambert Wilson, Frank Langella, Glenn Close","March 16, 2017",2017,2014,97 min,"Comedies, Dramas, Romantic Movies",,,
Movie,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Marie Avgeropoulos, Jessica Parker Kennedy","June 1, 2019",2019,2011,100 min,"Comedies, Dramas, Independent Movies",,,
Movie,Rizal Mantovani,"Herjunot Ali, Raline Shah, Fedi Nuril, Pevita Pearce, Saykoji, Denny Sumargo, Didi Petet, Firrina Sinatrya","September 28, 2018",2018,2012,126 min,"Dramas, International Movies",,,
Movie,Marja Lewis Ryan,"Abbi Jacobson, Dave Franco, Jane Kaczmarek, Tim Matheson, Charlotte Carel, Madeline Carel, Maya Erskine, Dawan Owens, Jen Tullock","April 6, 2018",2018,2018,75 min,"Dramas, Independent Movies",,,
Movie,Toa Fraser,"Jamie Bell, Abbie Cornish, Mark Strong, Martin Shaw, Ben Turner, Aymen Hamdouchi, Tim Pigott-Smith, Robert Portal, Colin Garlick, Andrew Grainger, Martin Hancock, Emun Elliott","February 8, 2018",2018,2017,94 min,"Action & Adventure, Dramas, International Movies",,,
Movie,Michael Bay,"Ryan Reynolds, Mélanie Laurent, Corey Hawkins, Dave Franco, Adria Arjona, Manuel Garcia-Rulfo, Ben Hardy, Lior Raz, Payman Maadi, Yuri Kolokolnikov, Kim Kold","December 13, 2019",2019,2019,129 min,"Action & Adventure, Dramas",,,
Movie,Hannah Fidell,"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael","September 8, 2015",2015,2015,80 min,"Dramas, Independent Movies, Romantic Movies",,,
Movie,Bharat Jain,"Prashantt Guptha, Gaurav Paswala, Gaurav Kothari, Disha Kapoor, Niharica Raizada, Ashrut Jain, Darshan Machamada","November 1, 2017",2017,2014,103 min,"Horror Movies, International Movies, Thrillers",,,
Movie,Trent Haaga,"Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand, Sam Eidson, James Moses Black, Ajay Mehta, Michael Beasley, David Maldonado, Hallie Grace Bradley, Peter Jaymes Jr., Eric Podnar, Lucy Faust","September 1, 2019",2019,2017,96 min,"Comedies, Independent Movies, Thrillers",,,
Movie,"Meenu Gaur, Farjad Nabi","Mahira Khan, Sheheryar Munawar, Javed Sheikh, Hina Dilpazeer, Amna Ilyas, Mira Sethi, Rimal Ali, Salahuddin Tunio, Aamir Qureshi, Adnan Shah","May 15, 2019",2019,2018,137 min,"Comedies, International Movies, Music & Musicals",,,
Movie,Vishal Bhardwaj,"Priyanka Chopra, Neil Nitin Mukesh, John Abraham, Irrfan Khan, Aleksandr Dyachenko, Annu Kapoor, Naseeruddin Shah, Vivaan Shah, Usha Uthup, Konkona Sen Sharma","August 2, 2018",2018,2011,148 min,"Dramas, International Movies, Thrillers",,,
Movie,Roger Gual,"Paco León, Juana Acosta, Juan Pablo Raba, Alex Brendemühl, Manuel Morón","October 27, 2016",2016,2016,77 min,"Dramas, International Movies",,,
Movie,Shravan Kumar,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak","April 1, 2019",2019,2019,118 min,"Horror Movies, International Movies",,,
Movie,Jorge Michel Grau,"Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato","December 23, 2016",2016,2016,93 min,"Dramas, International Movies",,,
Movie,Shane Acker,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane","November 16, 2017",2017,2009,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",,,
Movie,Anita Udeep,"Oviya, Masoom Shankar, Bommu Lakshmi, Monisha Ram, Tej Raj, Shree Gopika, Anson Paul, Devadarshini Chetan","August 13, 2019",2019,2019,123 min,"Comedies, International Movies, Music & Musicals",,,
