Title,Type,Netflix Excl.,Netflix Release Date,Days In Top 10,Viewer- Ship Score,Measure Date
The Umbrella Academy,TV Show,Yes,"Jul 31, 2020",1,10,2020/08/01
Shameless,TV Show,,,6,53,2020/08/01
The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",7,67,2020/08/01
Animal Crackers,Movie,Yes,"Jul 24, 2020",8,50,2020/08/01
The Last Dance,TV Show,,"Jul 19, 2020",13,98,2020/08/01
Last Chance U,TV Show,Yes,"Jul 28, 2020",4,23,2020/08/01
Cursed,TV Show,Yes,"Jul 17, 2020",15,116,2020/08/01
Zookeeper,Movie,,"Jul 26, 2020",2,5,2020/08/01
Transformers: War for Cyber…,TV Show,Yes,"Jun 30, 2020",2,6,2020/08/01
Sugar Rush,TV Show,Yes,"Jul 31, 2020",1,1,2020/08/01
The Umbrella Academy,TV Show,Yes,"Jul 31, 2020",2,20,2020/08/02
Shameless,TV Show,,,7,62,2020/08/02
The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",8,75,2020/08/02
The Last Dance,TV Show,,"Jul 19, 2020",14,105,2020/08/02
Animal Crackers,Movie,Yes,"Jul 24, 2020",9,56,2020/08/02
Last Chance U,TV Show,Yes,"Jul 28, 2020",5,28,2020/08/02
Zookeeper,Movie,,"Jul 26, 2020",3,9,2020/08/02
Sugar Rush,TV Show,Yes,"Jul 31, 2020",2,4,2020/08/02
Cursed,TV Show,Yes,"Jul 17, 2020",16,118,2020/08/02
Moesha,TV Show,,"Aug 1, 2020",1,1,2020/08/02
The Umbrella Academy,TV Show,Yes,"Jul 31, 2020",3,30,2020/08/03
Shameless,TV Show,,,8,71,2020/08/03
Rogue Warfare: The Hunt,Movie,,,1,8,2020/08/03
The Last Dance,TV Show,,"Jul 19, 2020",15,112,2020/08/03
The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",9,81,2020/08/03
Moesha,TV Show,,"Aug 1, 2020",2,6,2020/08/03
Sugar Rush,TV Show,Yes,"Jul 31, 2020",3,8,2020/08/03
Animal Crackers,Movie,Yes,"Jul 24, 2020",10,59,2020/08/03
Last Chance U,TV Show,Yes,"Jul 28, 2020",6,30,2020/08/03
Cursed,TV Show,Yes,"Jul 17, 2020",17,119,2020/08/03
The Umbrella Academy,TV Show,Yes,"Jul 31, 2020",4,40,2020/08/04
Shameless,TV Show,,,9,80,2020/08/04
Sugar Rush,TV Show,Yes,"Jul 31, 2020",4,16,2020/08/04
The Last Dance,TV Show,,"Jul 19, 2020",16,119,2020/08/04
Moesha,TV Show,,"Aug 1, 2020",3,12,2020/08/04
The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",10,86,2020/08/04
Latte & the Magic Waterstone,Movie,Yes,"Jul 31, 2020",1,4,2020/08/04
Immigration Nation,TV Show,Yes,"Aug 3, 2020",1,3,2020/08/04
Rogue Warfare: The Hunt,Movie,,,2,10,2020/08/04
Animal Crackers,Movie,Yes,"Jul 24, 2020",11,60,2020/08/04
The Umbrella Academy,TV Show,Yes,"Jul 31, 2020",5,50,2020/08/05
Shameless,TV Show,,,10,89,2020/08/05
Immigration Nation,TV Show,Yes,"Aug 3, 2020",2,11,2020/08/05
Malibu Rescue: The Next Wave,Movie,Yes,"Aug 4, 2020",1,7,2020/08/05
Sugar Rush,TV Show,Yes,"Jul 31, 2020",5,22,2020/08/05
The Last Dance,TV Show,,"Jul 19, 2020",17,124,2020/08/05
Jurassic Park,Movie,,,1,4,2020/08/05
Moesha,TV Show,,"Aug 1, 2020",4,15,2020/08/05
The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",11,88,2020/08/05
Latte & the Magic Waterstone,Movie,Yes,"Jul 31, 2020",2,5,2020/08/05
The Umbrella Academy,TV Show,Yes,"Jul 31, 2020",6,60,2020/08/07
Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",1,9,2020/08/07
The Seven Deadly Sins,TV Show,Yes,"Jul 31, 2020",1,8,2020/08/07
Shameless,TV Show,,,11,96,2020/08/07
Dennis the Menace,Movie,,,1,6,2020/08/07
Jurassic Park,Movie,,,2,9,2020/08/07
Malibu Rescue: The Next Wave,Movie,Yes,"Aug 4, 2020",2,11,2020/08/07
Immigration Nation,TV Show,Yes,"Aug 3, 2020",3,14,2020/08/07
Sugar Rush,TV Show,Yes,"Jul 31, 2020",6,24,2020/08/07
