Title,Type,Netflix Excl.,Netflix Release Date,Days In Top 10,Viewer- Ship Score,Measure Date
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",7,70,2020/04/01
Ozark,TV Show,Yes,"Mar 27, 2020",3,27,2020/04/01
All American,TV Show,,,7,60,2020/04/01
Blood Father,Movie,,,3,21,2020/04/01
El Hoyo,Movie,Yes,"Mar 20, 2020",7,42,2020/04/01
Car Masters: Rust to Riches,TV Show,Yes,"Mar 27, 2020",3,13,2020/04/01
Unorthodox,TV Show,Yes,"Mar 26, 2020",2,5,2020/04/01
Love is Blind,TV Show,Yes,"Feb 13, 2020",7,32,2020/04/01
Badland,Movie,,,3,9,2020/04/01
Uncorked,Movie,Yes,"Mar 27, 2020",3,8,2020/04/01
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",8,80,2020/04/02
Ozark,TV Show,Yes,"Mar 27, 2020",4,36,2020/04/02
All American,TV Show,,,8,68,2020/04/02
Nailed It!,TV Show,Yes,"Apr 1, 2020",1,7,2020/04/02
How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",1,6,2020/04/02
Blood Father,Movie,,,4,26,2020/04/02
The Roommate,Movie,,,1,4,2020/04/02
Unorthodox,TV Show,Yes,"Mar 26, 2020",3,8,2020/04/02
El Hoyo,Movie,Yes,"Mar 20, 2020",8,44,2020/04/02
Car Masters: Rust to Riches,TV Show,Yes,"Mar 27, 2020",4,14,2020/04/02
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",9,90,2020/04/03
Ozark,TV Show,Yes,"Mar 27, 2020",5,45,2020/04/03
All American,TV Show,,,9,76,2020/04/03
How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",2,13,2020/04/03
Nailed It!,TV Show,Yes,"Apr 1, 2020",2,13,2020/04/03
The Roommate,Movie,,,2,9,2020/04/03
Unorthodox,TV Show,Yes,"Mar 26, 2020",4,12,2020/04/03
The Players Club,Movie,,,1,3,2020/04/03
Salt,Movie,,,1,2,2020/04/03
Blood Father,Movie,,,5,27,2020/04/03
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",10,100,2020/04/06
Ozark,TV Show,Yes,"Mar 27, 2020",6,54,2020/04/06
Coffee & Kareem,Movie,Yes,"Apr 3, 2020",1,8,2020/04/06
Angel Has Fallen,Movie,,,1,7,2020/04/06
Money Heist,TV Show,Yes,"Apr 3, 2020",1,6,2020/04/06
All American,TV Show,,,10,81,2020/04/06
How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",3,17,2020/04/06
Nailed It!,TV Show,Yes,"Apr 1, 2020",3,16,2020/04/06
The Roommate,Movie,,,3,11,2020/04/06
The Hangover,Movie,,,1,1,2020/04/06
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",11,110,2020/04/07
Ozark,TV Show,Yes,"Mar 27, 2020",7,63,2020/04/07
Coffee & Kareem,Movie,Yes,"Apr 3, 2020",2,16,2020/04/07
Angel Has Fallen,Movie,,,2,14,2020/04/07
Money Heist,TV Show,Yes,"Apr 3, 2020",2,12,2020/04/07
All American,TV Show,,,11,86,2020/04/07
The Big Show Show,TV Show,Yes,"Apr 6, 2020",1,4,2020/04/07
Nailed It!,TV Show,Yes,"Apr 1, 2020",4,19,2020/04/07
How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",4,19,2020/04/07
Legacies,TV Show,,,1,1,2020/04/07
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",12,120,2020/04/08
Ozark,TV Show,Yes,"Mar 27, 2020",8,72,2020/04/08
Coffee & Kareem,Movie,Yes,"Apr 3, 2020",3,24,2020/04/08
The Big Show Show,TV Show,Yes,"Apr 6, 2020",2,11,2020/04/08
Angel Has Fallen,Movie,,,3,20,2020/04/08
Money Heist,TV Show,Yes,"Apr 3, 2020",3,17,2020/04/08
All American,TV Show,,,12,90,2020/04/08
Legacies,TV Show,,,2,4,2020/04/08
Nailed It!,TV Show,Yes,"Apr 1, 2020",5,21,2020/04/08
The Hangover,Movie,,,2,2,2020/04/08
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",13,130,2020/04/09
Ozark,TV Show,Yes,"Mar 27, 2020",9,81,2020/04/09
The Big Show Show,TV Show,Yes,"Apr 6, 2020",3,19,2020/04/09
Angel Has Fallen,Movie,,,4,27,2020/04/09
Coffee & Kareem,Movie,Yes,"Apr 3, 2020",4,30,2020/04/09
Money Heist,TV Show,Yes,"Apr 3, 2020",4,22,2020/04/09
All American,TV Show,,,13,94,2020/04/09
Legacies,TV Show,,,3,7,2020/04/09
Nailed It!,TV Show,Yes,"Apr 1, 2020",6,23,2020/04/09
The Hangover,Movie,,,3,3,2020/04/09
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",14,140,2020/04/10
Ozark,TV Show,Yes,"Mar 27, 2020",10,90,2020/04/10
The Big Show Show,TV Show,Yes,"Apr 6, 2020",4,27,2020/04/10
Angel Has Fallen,Movie,,,5,34,2020/04/10
Money Heist,TV Show,Yes,"Apr 3, 2020",5,28,2020/04/10
All American,TV Show,,,14,99,2020/04/10
Coffee & Kareem,Movie,Yes,"Apr 3, 2020",5,34,2020/04/10
Legacies,TV Show,,,4,10,2020/04/10
Nailed It!,TV Show,Yes,"Apr 1, 2020",7,25,2020/04/10
Community,TV Show,,,1,1,2020/04/10
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",15,150,2020/04/13
Code 8,TV Show,,,1,9,2020/04/13
Ozark,TV Show,Yes,"Mar 27, 2020",11,98,2020/04/13
Angel Has Fallen,Movie,,,6,41,2020/04/13
Love. Wedding. Repeat,Movie,Yes,"Apr 10, 2020",1,6,2020/04/13
Money Heist,TV Show,Yes,"Apr 3, 2020",6,33,2020/04/13
Hop,Movie,,,1,4,2020/04/13
