Type,Netflix Exclusive,Score
TV Show,Yes,340
TV Show,Yes,259
TV Show,Yes,231
Movie,No,198
TV Show,No,196
TV Show,Yes,177
TV Show,Yes,175
TV Show,Yes,169
TV Show,Yes,167
TV Show,No,159
TV Show,Yes,147
Movie,Yes,140
TV Show,Yes,138
TV Show,Yes,127
TV Show,Yes,118
TV Show,Yes,116
TV Show,Yes,110
TV Show,No,103
TV Show,Yes,101
TV Show,No,98
TV Show,Yes,95
TV Show,Yes,91
Movie,No,84
Movie,Yes,71
TV Show,Yes,70
Movie,Yes,67
Movie,Yes,64
TV Show,No,60
Movie,No,59
TV Show,Yes,59
Movie,No,58
Movie,Yes,58
Movie,Yes,57
TV Show,Yes,56
TV Show,No,55
TV Show,No,53
Movie,Yes,52
Movie,No,52
Movie,Yes,50
Movie,Yes,47
Movie,Yes,46
TV Show,Yes,43
Movie,Yes,42
Movie,Yes,40
Movie,Yes,40
TV Show,Yes,39
Movie,No,38
TV Show,Yes,36
TV Show,No,36
TV Show,Yes,36
TV Show,Yes,34
TV Show,Yes,33
TV Show,Yes,32
TV Show,Yes,31
TV Show,Yes,30
TV Show,Yes,30
Movie,No,29
TV Show,No,29
TV Show,Yes,28
TV Show,Yes,24
TV Show,Yes,23
Movie,No,23
Movie,No,21
TV Show,Yes,20
TV Show,Yes,20
TV Show,No,19
Movie,No,18
TV Show,Yes,18
Movie,Yes,15
Movie,Yes,14
TV Show,Yes,13
Movie,Yes,12
Movie,Yes,11
Movie,Yes,10
Movie,Yes,10
TV Show,Yes,10
TV Show,Yes,10
Movie,Yes,10
Movie,Yes,10
Movie,Yes,10
Movie,No,10
Movie,No,9
Movie,No,9
Movie,No,9
TV Show,Yes,9
Movie,Yes,9
Movie,Yes,9
Movie,Yes,9
Movie,Yes,9
Stand-Up Comedy,Yes,9
TV Show,Yes,9
Movie,Yes,9
TV Show,No,9
Movie,No,9
TV Show,Yes,9
Movie,Yes,8
TV Show,Yes,8
Movie,No,8
TV Show,Yes,8
TV Show,Yes,8
Movie,No,8
Movie,No,8
Movie,Yes,8
Movie,Yes,8
Movie,No,8
TV Show,Yes,8
Movie,No,8
Stand-Up Comedy,Yes,8
TV Show,Yes,8
Movie,No,8
Movie,No,8
Movie,Yes,8
Movie,Yes,8
TV Show,No,8
TV Show,Yes,8
Movie,No,8
Movie,Yes,8
Movie,Yes,8
Movie,Yes,7
TV Show,Yes,7
TV Show,Yes,7
TV Show,Yes,7
TV Show,Yes,7
TV Show,Yes,7
Movie,No,7
TV Show,Yes,7
Movie,No,7
Movie,Yes,7
Movie,Yes,7
TV Show,Yes,7
TV Show,Yes,7
Movie,Yes,7
TV Show,Yes,7
Movie,Yes,7
TV Show,Yes,7
Movie,No,7
Movie,No,6
TV Show,Yes,6
TV Show,Yes,6
TV Show,Yes,6
Movie,Yes,6
TV Show,Yes,6
TV Show,No,6
Movie,Yes,6
TV Show,Yes,6
TV Show,No,6
Movie,Yes,6
Movie,No,6
TV Show,No,6
TV Show,No,6
Movie,Yes,6
Movie,No,6
TV Show,Yes,6
Movie,No,6
TV Show,Yes,6
Movie,Yes,6
TV Show,Yes,6
TV Show,Yes,6
Movie,Yes,6
Movie,No,5
TV Show,Yes,5
Movie,No,5
TV Show,Yes,5
TV Show,Yes,5
TV Show,No,5
TV Show,Yes,5
TV Show,No,5
Movie,Yes,5
Movie,No,5
Movie,No,5
Movie,No,5
TV Show,Yes,5
Stand-Up Comedy,Yes,5
Movie,No,5
TV Show,Yes,5
TV Show,Yes,5
TV Show,No,5
TV Show,Yes,5
TV Show,Yes,5
TV Show,Yes,5
Movie,No,5
Movie,Yes,5
TV Show,Yes,5
Movie,Yes,5
TV Show,Yes,5
TV Show,No,5
Movie,No,5
Movie,No,4
TV Show,Yes,4
Movie,No,4
TV Show,Yes,4
TV Show,Yes,4
Movie,No,4
Movie,No,4
Movie,No,4
TV Show,Yes,4
TV Show,Yes,4
TV Show,Yes,4
Movie,Yes,4
Movie,No,4
TV Show,Yes,4
Movie,No,4
TV Show,No,4
Movie,No,4
Movie,Yes,4
Movie,No,4
Movie,No,4
Movie,Yes,4
Movie,No,3
Movie,No,3
Movie,Yes,3
Movie,No,3
Movie,Yes,3
TV Show,Yes,3
Movie,Yes,3
TV Show,No,3
TV Show,Yes,3
Movie,No,3
Movie,Yes,3
Movie,Yes,3
Movie,Yes,3
TV Show,Yes,3
Movie,No,3
Movie,No,3
Movie,No,3
TV Show,No,3
Movie,No,3
Movie,No,3
Movie,No,3
Movie,Yes,3
Movie,Yes,3
Movie,No,2
Movie,No,2
Movie,No,2
TV Show,Yes,2
TV Show,Yes,2
TV Show,No,2
Movie,No,2
Movie,Yes,2
Movie,No,2
TV Show,Yes,2
Movie,No,2
Movie,Yes,2
TV Show,Yes,2
TV Show,Yes,2
Movie,Yes,2
Movie,No,2
Movie,No,2
Movie,No,2
TV Show,Yes,2
TV Show,No,2
Movie,No,2
TV Show,No,2
TV Show,Yes,2
Movie,Yes,2
Movie,No,1
TV Show,Yes,1
TV Show,No,1
TV Show,No,1
Movie,No,1
Movie,No,1
TV Show,Yes,1
TV Show,No,1
Movie,No,1
TV Show,No,1
Movie,No,1
Movie,No,1
Movie,No,1
TV Show,No,1
TV Show,Yes,1
TV Show,Yes,1
TV Show,No,1
TV Show,Yes,1
Movie,Yes,1
TV Show,Yes,1
TV Show,Yes,1
Movie,No,1
TV Show,No,1
TV Show,Yes,1
Movie,No,1
Movie,No,1
TV Show,Yes,1
TV Show,Yes,1
TV Show,Yes,1
TV Show,No,1
Movie,No,1
Movie,No,1
TV Show,No,1
TV Show,No,1
Movie,Yes,1
Movie,Yes,1
