Title,Type,Netflix Excl.,Netflix Release Date,Days In Top 10,Viewer- Ship Score,Measure Date
Virgin River,TV Show,Yes,"Nov 27, 2020",4,39,2020/12/01
The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",6,57,2020/12/01
The 2nd,Movie,,,1,8,2020/12/01
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",39,340,2020/12/01
The Crown,TV Show,Yes,,16,138,2020/12/01
Dr. Seussâ The Grinch,Movie,,,21,84,2020/12/01
Hillbilly Elegy,Movie,Yes,"Nov 24, 2020",7,52,2020/12/01
La belva,Movie,Yes,"Nov 27, 2020",4,14,2020/12/01
How the Grinch Stole Christmas,Movie,,,4,6,2020/12/01
Cocomelon,TV Show,,"Jun 1, 2020",63,159,2020/12/01
Virgin River,TV Show,Yes,"Nov 27, 2020",5,49,2020/12/02
The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",7,66,2020/12/02
The 2nd,Movie,,,2,16,2020/12/02
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",40,347,2020/12/02
The Crown,TV Show,Yes,,17,144,2020/12/02
Dr. Seussâ The Grinch,Movie,,,22,89,2020/12/02
Hillbilly Elegy,Movie,Yes,"Nov 24, 2020",8,56,2020/12/02
La belva,Movie,Yes,"Nov 27, 2020",5,17,2020/12/02
How the Grinch Stole Christmas,Movie,,,5,8,2020/12/02
Cocomelon,TV Show,,"Jun 1, 2020",64,160,2020/12/02
Virgin River,TV Show,Yes,"Nov 27, 2020",6,59,2020/12/03
Peppermint,Movie,,,1,9,2020/12/03
The 2nd,Movie,,,3,24,2020/12/03
Rust Creek,Movie,,,1,7,2020/12/03
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",41,353,2020/12/03
The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",8,71,2020/12/03
The Crown,TV Show,Yes,,18,148,2020/12/03
Alien Worlds,TV Show,Yes,"Dec 2, 2020",1,3,2020/12/03
Dr. Seussâ The Grinch,Movie,,,23,91,2020/12/03
Cocomelon,TV Show,,"Jun 1, 2020",65,161,2020/12/03
Virgin River,TV Show,Yes,"Nov 27, 2020",7,69,2020/12/04
Peppermint,Movie,,,2,18,2020/12/04
Marauders,Movie,,,1,8,2020/12/04
Alien Worlds,TV Show,Yes,"Dec 2, 2020",2,10,2020/12/04
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",42,359,2020/12/04
Dr. Seussâ The Grinch,Movie,,,24,96,2020/12/04
The Crown,TV Show,Yes,,19,152,2020/12/04
The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",9,74,2020/12/04
Rust Creek,Movie,,,2,9,2020/12/04
The 2nd,Movie,,,4,25,2020/12/04
Selena: The Series,TV Show,Yes,"Dec 4, 2020",1,10,2020/12/05
Big Mouth,TV Show,Yes,"Sep 29, 2017",1,9,2020/12/05
Virgin River,TV Show,Yes,"Nov 27, 2020",8,77,2020/12/05
Peppermint,Movie,,,3,25,2020/12/05
Marauders,Movie,,,2,14,2020/12/05
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",43,364,2020/12/05
The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",10,78,2020/12/05
Alien Worlds,TV Show,Yes,"Dec 2, 2020",3,13,2020/12/05
The Crown,TV Show,Yes,,20,154,2020/12/05
How the Grinch Stole Christmas,Movie,,,6,9,2020/12/05
Selena: The Series,TV Show,Yes,"Dec 4, 2020",2,20,2020/12/06
Big Mouth,TV Show,Yes,"Sep 29, 2017",2,18,2020/12/06
Virgin River,TV Show,Yes,"Nov 27, 2020",9,85,2020/12/06
Peppermint,Movie,,,4,32,2020/12/06
Marauders,Movie,,,3,20,2020/12/06
The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",11,83,2020/12/06
