Title,Type,Netflix Excl.,Netflix Release Date,Days In Top 10,Viewer- Ship Score,Measure Date
Floor is Lava,TV Show,Yes,"Jun 19, 2020",12,118,2020/07/01
Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",5,47,2020/07/01
George Lopez: We'll Do It F…,Stand-Up Comedy,Yes,"Jun 30, 2020",1,8,2020/07/01
The Order,TV Show,Yes,"Jun 18, 2020",13,101,2020/07/01
365 Dni,Movie,,"Jun 7, 2020",23,198,2020/07/01
Crazy Delicious,TV Show,Yes,"Jun 24, 2020",5,20,2020/07/01
Feel the Beat,Movie,Yes,"Jun 19, 2020",12,58,2020/07/01
The Nut Job,Movie,,"Aug 13, 2018",11,58,2020/07/01
Dark,TV Show,Yes,"Jun 27, 2020",1,2,2020/07/01
Love,Movie,,"Feb 4, 2016",8,23,2020/07/01
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",1,10,2020/07/02
Floor is Lava,TV Show,Yes,"Jun 19, 2020",13,127,2020/07/02
Patriots Day,Movie,,"Jul 1, 2020",1,8,2020/07/02
George Lopez: We'll Do It F…,Stand-Up Comedy,Yes,"Jun 30, 2020",2,15,2020/07/02
Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",6,53,2020/07/02
The Order,TV Show,Yes,"Jun 18, 2020",14,106,2020/07/02
365 Dni,Movie,,"Jun 7, 2020",24,202,2020/07/02
Crazy Delicious,TV Show,Yes,"Jun 24, 2020",6,23,2020/07/02
The Town,Movie,,"Jul 1, 2020",1,2,2020/07/02
Avatar the Last Airbender,TV Show,,,39,196,2020/07/02
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",2,20,2020/07/03
Patriots Day,Movie,,"Jul 1, 2020",2,17,2020/07/03
Floor is Lava,TV Show,Yes,"Jun 19, 2020",14,135,2020/07/03
Warrior Nun,TV Show,Yes,"Jul 2, 2020",1,7,2020/07/03
The Town,Movie,,"Jul 1, 2020",2,8,2020/07/03
A Thousand Words,Movie,,"Sep 9, 2014",1,5,2020/07/03
George Lopez: We'll Do It F…,Stand-Up Comedy,Yes,"Jun 30, 2020",3,19,2020/07/03
Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",7,56,2020/07/03
365 Dni,Movie,,"Jun 7, 2020",25,204,2020/07/03
The Order,TV Show,Yes,"Jun 18, 2020",15,107,2020/07/03
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",3,30,2020/07/04
Warrior Nun,TV Show,Yes,"Jul 2, 2020",2,16,2020/07/04
Patriots Day,Movie,,"Jul 1, 2020",3,25,2020/07/04
The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",1,7,2020/07/04
Floor is Lava,TV Show,Yes,"Jun 19, 2020",15,141,2020/07/04
The Town,Movie,,"Jul 1, 2020",3,13,2020/07/04
Desperados,Movie,Yes,"Jul 3, 2020",1,4,2020/07/04
George Lopez: We'll Do It F…,Stand-Up Comedy,Yes,"Jun 30, 2020",4,22,2020/07/04
Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",8,58,2020/07/04
365 Dni,Movie,,"Jun 7, 2020",26,205,2020/07/04
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",4,40,2020/07/05
Warrior Nun,TV Show,Yes,"Jul 2, 2020",3,25,2020/07/05
The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",2,15,2020/07/05
Patriots Day,Movie,,"Jul 1, 2020",4,32,2020/07/05
Desperados,Movie,Yes,"Jul 3, 2020",2,10,2020/07/05
Floor is Lava,TV Show,Yes,"Jun 19, 2020",16,146,2020/07/05
The Town,Movie,,"Jul 1, 2020",4,17,2020/07/05
A Thousand Words,Movie,,"Sep 9, 2014",2,8,2020/07/05
George Lopez: We'll Do It F…,Stand-Up Comedy,Yes,"Jun 30, 2020",5,24,2020/07/05
365 Dni,Movie,,"Jun 7, 2020",27,206,2020/07/05
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",5,50,2020/07/06
Warrior Nun,TV Show,Yes,"Jul 2, 2020",4,34,2020/07/06
The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",3,23,2020/07/06
Patriots Day,Movie,,"Jul 1, 2020",5,39,2020/07/06
Desperados,Movie,Yes,"Jul 3, 2020",3,16,2020/07/06
The Town,Movie,,"Jul 1, 2020",5,22,2020/07/06
Floor is Lava,TV Show,Yes,"Jun 19, 2020",17,150,2020/07/06
A Thousand Words,Movie,,"Sep 9, 2014",3,11,2020/07/06
I Now Pronounce You Chuck a…,Movie,,"Jul 1, 2020",1,2,2020/07/06
Double Jeopardy,Movie,,"Jul 1, 2020",1,1,2020/07/06
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",6,60,2020/07/07
Warrior Nun,TV Show,Yes,"Jul 2, 2020",5,43,2020/07/07
The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",4,31,2020/07/07
Desperados,Movie,Yes,"Jul 3, 2020",4,23,2020/07/07
Patriots Day,Movie,,"Jul 1, 2020",6,45,2020/07/07
Floor is Lava,TV Show,Yes,"Jun 19, 2020",18,155,2020/07/07
The Town,Movie,,"Jul 1, 2020",6,26,2020/07/07
I Now Pronounce You Chuck a…,Movie,,"Jul 1, 2020",2,5,2020/07/07
A Thousand Words,Movie,,"Sep 9, 2014",4,13,2020/07/07
Double Jeopardy,Movie,,"Jul 1, 2020",2,2,2020/07/07
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",7,70,2020/07/08
Warrior Nun,TV Show,Yes,"Jul 2, 2020",6,52,2020/07/08
The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",5,39,2020/07/08
Desperados,Movie,Yes,"Jul 3, 2020",5,30,2020/07/08
Floor is Lava,TV Show,Yes,"Jun 19, 2020",19,161,2020/07/08
Patriots Day,Movie,,"Jul 1, 2020",7,50,2020/07/08
I Now Pronounce You Chuck a…,Movie,,"Jul 1, 2020",3,9,2020/07/08
The Town,Movie,,"Jul 1, 2020",7,29,2020/07/08
Only,Movie,,"Jul 1, 2020",1,2,2020/07/08
Doctor Seuss' The Lorax,Movie,,"Jul 7, 2020",1,1,2020/07/08
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",8,80,2020/07/09
Warrior Nun,TV Show,Yes,"Jul 2, 2020",7,61,2020/07/09
Doctor Seuss' The Lorax,Movie,,"Jul 7, 2020",2,9,2020/07/09
The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",6,46,2020/07/09
Only,Movie,,"Jul 1, 2020",2,8,2020/07/09
Desperados,Movie,Yes,"Jul 3, 2020",6,35,2020/07/09
Floor is Lava,TV Show,Yes,"Jun 19, 2020",20,165,2020/07/09
I Now Pronounce You Chuck a…,Movie,,"Jul 1, 2020",4,12,2020/07/09
Patriots Day,Movie,,"Jul 1, 2020",8,52,2020/07/09
The Town,Movie,,"Jul 1, 2020",8,30,2020/07/09
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",9,90,2020/07/10
Doctor Seuss' The Lorax,Movie,,"Jul 7, 2020",3,18,2020/07/10
Warrior Nun,TV Show,Yes,"Jul 2, 2020",8,69,2020/07/10
The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",7,53,2020/07/10
Desperados,Movie,Yes,"Jul 3, 2020",7,41,2020/07/10
Only,Movie,,"Jul 1, 2020",3,13,2020/07/10
Floor is Lava,TV Show,Yes,"Jun 19, 2020",21,169,2020/07/10
I Now Pronounce You Chuck a…,Movie,,"Jul 1, 2020",5,15,2020/07/10
The Town,Movie,,"Jul 1, 2020",9,32,2020/07/10
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",22,147,2020/07/10
The Old Guard,Movie,Yes,"Jul 10, 2020",1,10,2020/07/11
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",10,99,2020/07/11
Doctor Seuss' The Lorax,Movie,,"Jul 7, 2020",4,26,2020/07/11
Warrior Nun,TV Show,Yes,"Jul 2, 2020",9,76,2020/07/11
The Epic Tales of Captain U…,TV Show,Yes,"Jul 10, 2020",1,6,2020/07/11
Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",1,5,2020/07/11
The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",8,57,2020/07/11
Desperados,Movie,Yes,"Jul 3, 2020",8,44,2020/07/11
Floor is Lava,TV Show,Yes,"Jun 19, 2020",22,171,2020/07/11
Only,Movie,,"Jul 1, 2020",4,14,2020/07/11
