Title,Type,Netflix Excl.,Netflix Release Date,Days In Top 10,Viewer- Ship Score,Measure Date
Space Force,TV Show,Yes,"May 29, 2020",3,30,2020/06/01
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",5,47,2020/06/01
Sweet Magnolias,TV Show,Yes,"May 19, 2020",13,110,2020/06/01
Uncut Gems,Movie,,,7,59,2020/06/01
Avatar the Last Airbender,TV Show,,,14,117,2020/06/01
Dead to Me,TV Show,Yes,"May 8, 2020",24,175,2020/06/01
Riverdale,TV Show,,,18,103,2020/06/01
Just Go With It,Movie,,,10,38,2020/06/01
History 101,TV Show,Yes,"May 22, 2020",8,28,2020/06/01
The Flash,TV Show,,,12,36,2020/06/01
Space Force,TV Show,Yes,"May 29, 2020",4,40,2020/06/02
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",6,56,2020/06/02
Sweet Magnolias,TV Show,Yes,"May 19, 2020",14,118,2020/06/02
Avatar the Last Airbender,TV Show,,,15,124,2020/06/02
Uncut Gems,Movie,,,8,65,2020/06/02
Riverdale,TV Show,,,19,108,2020/06/02
Dead to Me,TV Show,Yes,"May 8, 2020",25,179,2020/06/02
The Healer,Movie,,,1,3,2020/06/02
The Flash,TV Show,,,13,38,2020/06/02
Outer Banks,TV Show,Yes,"Apr 15, 2020",37,259,2020/06/02
Space Force,TV Show,Yes,"May 29, 2020",5,50,2020/06/03
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",7,65,2020/06/03
Fuller House,TV Show,Yes,,1,8,2020/06/03
Sweet Magnolias,TV Show,Yes,"May 19, 2020",15,125,2020/06/03
Avatar the Last Airbender,TV Show,,,16,130,2020/06/03
The Healer,Movie,,,2,8,2020/06/03
The Help,Movie,,,1,4,2020/06/03
Clueless,Movie,,,1,3,2020/06/03
Uncut Gems,Movie,,,9,67,2020/06/03
Riverdale,TV Show,,,20,109,2020/06/03
Space Force,TV Show,Yes,"May 29, 2020",6,60,2020/06/04
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",8,74,2020/06/04
Fuller House,TV Show,Yes,,2,16,2020/06/04
Sweet Magnolias,TV Show,Yes,"May 19, 2020",16,132,2020/06/04
Avatar the Last Airbender,TV Show,,,17,136,2020/06/04
The Help,Movie,,,2,9,2020/06/04
The Healer,Movie,,,3,12,2020/06/04
Clueless,Movie,,,2,6,2020/06/04
Uncut Gems,Movie,,,10,69,2020/06/04
Riverdale,TV Show,,,21,110,2020/06/04
Space Force,TV Show,Yes,"May 29, 2020",7,70,2020/06/05
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",9,83,2020/06/05
Fuller House,TV Show,Yes,,3,24,2020/06/05
Sweet Magnolias,TV Show,Yes,"May 19, 2020",17,139,2020/06/05
The Help,Movie,,,3,15,2020/06/05
Avatar the Last Airbender,TV Show,,,18,141,2020/06/05
Clueless,Movie,,,3,10,2020/06/05
The Healer,Movie,,,4,15,2020/06/05
Cloudy with a Chance of Mea…,Movie,,,1,2,2020/06/05
Riverdale,TV Show,,,22,111,2020/06/05
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",10,91,2020/06/06
Fuller House,TV Show,Yes,,4,31,2020/06/06
The Last Days of American C…,Movie,Yes,"Jun 5, 2020",1,6,2020/06/06
Cloudy with a Chance of Mea…,Movie,,,2,7,2020/06/06
Avatar the Last Airbender,TV Show,,,19,145,2020/06/06
Sweet Magnolias,TV Show,Yes,"May 19, 2020",18,142,2020/06/06
The Help,Movie,,,4,17,2020/06/06
Clueless,Movie,,,4,11,2020/06/06
13 Reasons Why,TV Show,Yes,"Mar 31, 2017",1,10,2020/06/07
Space Force,TV Show,Yes,"May 29, 2020",8,79,2020/06/07
The Last Days of American C…,Movie,Yes,"Jun 5, 2020",2,14,2020/06/07
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",11,98,2020/06/07
Fuller House,TV Show,Yes,,5,37,2020/06/07
Queer Eye,TV Show,Yes,"Jun 5, 2020",1,5,2020/06/07
Cloudy with a Chance of Mea…,Movie,,,3,11,2020/06/07
Avatar the Last Airbender,TV Show,,,20,148,2020/06/07
The Help,Movie,,,5,19,2020/06/07
Sweet Magnolias,TV Show,Yes,"May 19, 2020",19,143,2020/06/07
13 Reasons Why,TV Show,Yes,"Mar 31, 2017",2,20,2020/06/08
Space Force,TV Show,Yes,"May 29, 2020",9,88,2020/06/08
The Last Days of American C…,Movie,Yes,"Jun 5, 2020",3,22,2020/06/08
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",12,105,2020/06/08
Fuller House,TV Show,Yes,,6,43,2020/06/08
Queer Eye,TV Show,Yes,"Jun 5, 2020",2,10,2020/06/08
Cloudy with a Chance of Mea…,Movie,,,4,15,2020/06/08
Avatar the Last Airbender,TV Show,,,21,151,2020/06/08
The Help,Movie,,,6,21,2020/06/08
Sweet Magnolias,TV Show,Yes,"May 19, 2020",20,144,2020/06/08
13 Reasons Why,TV Show,Yes,"Mar 31, 2017",3,30,2020/06/09
365 Dni,Movie,,"Jun 7, 2020",1,9,2020/06/09
Space Force,TV Show,Yes,"May 29, 2020",10,96,2020/06/09
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",13,112,2020/06/09
Queer Eye,TV Show,Yes,"Jun 5, 2020",3,16,2020/06/09
Fuller House,TV Show,Yes,,7,48,2020/06/09
The Last Days of American C…,Movie,Yes,"Jun 5, 2020",4,26,2020/06/09
Cloudy with a Chance of Mea…,Movie,,,5,18,2020/06/09
Avatar the Last Airbender,TV Show,,,22,153,2020/06/09
Queen of the South,TV Show,,,1,1,2020/06/09
13 Reasons Why,TV Show,Yes,"Mar 31, 2017",4,40,2020/06/10
365 Dni,Movie,,"Jun 7, 2020",2,18,2020/06/10
Space Force,TV Show,Yes,"May 29, 2020",11,104,2020/06/10
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",14,119,2020/06/10
Queer Eye,TV Show,Yes,"Jun 5, 2020",4,22,2020/06/10
Fuller House,TV Show,Yes,,8,53,2020/06/10
The Last Days of American C…,Movie,Yes,"Jun 5, 2020",5,30,2020/06/10
Cloudy with a Chance of Mea…,Movie,,,6,21,2020/06/10
Avatar the Last Airbender,TV Show,,,23,155,2020/06/10
Queen of the South,TV Show,,,2,2,2020/06/10
13 Reasons Why,TV Show,Yes,"Mar 31, 2017",5,50,2020/06/11
365 Dni,Movie,,"Jun 7, 2020",3,27,2020/06/11
Space Force,TV Show,Yes,"May 29, 2020",12,112,2020/06/11
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",15,126,2020/06/11
Queer Eye,TV Show,Yes,"Jun 5, 2020",5,28,2020/06/11
Fuller House,TV Show,Yes,,9,58,2020/06/11
Avatar the Last Airbender,TV Show,,,24,159,2020/06/11
Cloudy with a Chance of Mea…,Movie,,,7,24,2020/06/11
Queen of the South,TV Show,,,3,4,2020/06/11
The Last Days of American C…,Movie,Yes,"Jun 5, 2020",6,31,2020/06/11
13 Reasons Why,TV Show,Yes,"Mar 31, 2017",6,60,2020/06/12
365 Dni,Movie,,"Jun 7, 2020",4,36,2020/06/12
Space Force,TV Show,Yes,"May 29, 2020",13,120,2020/06/12
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",16,133,2020/06/12
Queer Eye,TV Show,Yes,"Jun 5, 2020",6,34,2020/06/12
Avatar the Last Airbender,TV Show,,,25,164,2020/06/12
Fuller House,TV Show,Yes,,10,62,2020/06/12
Cloudy with a Chance of Mea…,Movie,,,8,27,2020/06/12
Queen of the South,TV Show,,,4,6,2020/06/12
Hannibal,TV Show,,,1,1,2020/06/12
365 Dni,Movie,,"Jun 7, 2020",5,46,2020/06/13
13 Reasons Why,TV Show,Yes,"Mar 31, 2017",7,69,2020/06/13
Da 5 Bloods,Movie,Yes,"Jun 12, 2020",1,8,2020/06/13
Space Force,TV Show,Yes,"May 29, 2020",14,127,2020/06/13
PokÃ©mon Journeys: The Series,TV Show,Yes,"Jun 12, 2020",1,6,2020/06/13
F is for Family,TV Show,Yes,"Jun 12, 2020",1,5,2020/06/13
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",17,137,2020/06/13
Avatar the Last Airbender,TV Show,,,26,167,2020/06/13
Queer Eye,TV Show,Yes,"Jun 5, 2020",7,36,2020/06/13
Fuller House,TV Show,Yes,,11,63,2020/06/13
Da 5 Bloods,Movie,Yes,"Jun 12, 2020",2,18,2020/06/14
365 Dni,Movie,,"Jun 7, 2020",6,55,2020/06/14
13 Reasons Why,TV Show,Yes,"Mar 31, 2017",8,77,2020/06/14
Alexa & Katie,TV Show,Yes,"Jun 13, 2020",1,7,2020/06/14
Space Force,TV Show,Yes,"May 29, 2020",15,133,2020/06/14
F is for Family,TV Show,Yes,"Jun 12, 2020",2,10,2020/06/14
PokÃ©mon Journeys: The Series,TV Show,Yes,"Jun 12, 2020",2,10,2020/06/14
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",18,140,2020/06/14
Avatar the Last Airbender,TV Show,,,27,169,2020/06/14
Queer Eye,TV Show,Yes,"Jun 5, 2020",8,37,2020/06/14
Da 5 Bloods,Movie,Yes,"Jun 12, 2020",3,28,2020/06/15
365 Dni,Movie,,"Jun 7, 2020",7,64,2020/06/15
13 Reasons Why,TV Show,Yes,"Mar 31, 2017",9,85,2020/06/15
Alexa & Katie,TV Show,Yes,"Jun 13, 2020",2,14,2020/06/15
Space Force,TV Show,Yes,"May 29, 2020",16,139,2020/06/15
F is for Family,TV Show,Yes,"Jun 12, 2020",3,15,2020/06/15
PokÃ©mon Journeys: The Series,TV Show,Yes,"Jun 12, 2020",3,14,2020/06/15
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",19,143,2020/06/15
Avatar the Last Airbender,TV Show,,,28,171,2020/06/15
Queer Eye,TV Show,Yes,"Jun 5, 2020",9,38,2020/06/15
365 Dni,Movie,,"Jun 7, 2020",8,74,2020/06/16
13 Reasons Why,TV Show,Yes,"Mar 31, 2017",10,94,2020/06/16
Da 5 Bloods,Movie,Yes,"Jun 12, 2020",4,36,2020/06/16
Alexa & Katie,TV Show,Yes,"Jun 13, 2020",3,21,2020/06/16
Space Force,TV Show,Yes,"May 29, 2020",17,145,2020/06/16
F is for Family,TV Show,Yes,"Jun 12, 2020",4,20,2020/06/16
PokÃ©mon Journeys: The Series,TV Show,Yes,"Jun 12, 2020",4,18,2020/06/16
Avatar the Last Airbender,TV Show,,,29,174,2020/06/16
Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",20,145,2020/06/16
