Title,Type,Netflix Excl.,Netflix Release Date,Days In Top 10,Viewer- Ship Score,Measure Date
Never Have I Ever,TV Show,Yes,"Apr 27, 2020",4,34,2020/05/01
Dangerous Lies,Movie,Yes,"Apr 30, 2020",1,9,2020/05/01
Outer Banks,TV Show,Yes,"Apr 15, 2020",12,99,2020/05/01
Extraction,Movie,Yes,"Apr 24, 2020",5,46,2020/05/01
Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",2,12,2020/05/01
The Last Kingdom,TV Show,Yes,,5,31,2020/05/01
The Willoughbys,Movie,Yes,"Apr 22, 2020",6,40,2020/05/01
Waco,TV Show,,,10,55,2020/05/01
Ozark,TV Show,Yes,"Mar 27, 2020",25,169,2020/05/01
Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",10,59,2020/05/01
Dangerous Lies,Movie,Yes,"Apr 30, 2020",2,19,2020/05/02
Never Have I Ever,TV Show,Yes,"Apr 27, 2020",5,43,2020/05/02
Outer Banks,TV Show,Yes,"Apr 15, 2020",13,107,2020/05/02
Extraction,Movie,Yes,"Apr 24, 2020",6,53,2020/05/02
Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",3,18,2020/05/02
The Last Kingdom,TV Show,Yes,,6,36,2020/05/02
The Willoughbys,Movie,Yes,"Apr 22, 2020",7,44,2020/05/02
All Day and a Night,Movie,Yes,"May 1, 2020",1,3,2020/05/02
Ozark,TV Show,Yes,"Mar 27, 2020",26,171,2020/05/02
Waco,TV Show,,,11,56,2020/05/02
Dangerous Lies,Movie,Yes,"Apr 30, 2020",3,29,2020/05/03
Never Have I Ever,TV Show,Yes,"Apr 27, 2020",6,52,2020/05/03
Outer Banks,TV Show,Yes,"Apr 15, 2020",14,115,2020/05/03
Extraction,Movie,Yes,"Apr 24, 2020",7,60,2020/05/03
All Day and a Night,Movie,Yes,"May 1, 2020",2,9,2020/05/03
Hollywood,TV Show,Yes,"May 1, 2020",1,5,2020/05/03
Den of Thieves,Movie,,,1,4,2020/05/03
Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",4,21,2020/05/03
The Half of It,Movie,Yes,"May 1, 2020",1,2,2020/05/03
The Last Kingdom,TV Show,Yes,,7,37,2020/05/03
Dangerous Lies,Movie,Yes,"Apr 30, 2020",4,39,2020/05/04
Outer Banks,TV Show,Yes,"Apr 15, 2020",15,124,2020/05/04
Hollywood,TV Show,Yes,"May 1, 2020",2,13,2020/05/04
All Day and a Night,Movie,Yes,"May 1, 2020",3,16,2020/05/04
Never Have I Ever,TV Show,Yes,"Apr 27, 2020",7,58,2020/05/04
Extraction,Movie,Yes,"Apr 24, 2020",8,65,2020/05/04
Den of Thieves,Movie,,,2,8,2020/05/04
Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",5,24,2020/05/04
The Last Kingdom,TV Show,Yes,,8,39,2020/05/04
