Title,Type,Netflix Excl.,Netflix Release Date,Days In Top 10,Viewer- Ship Score,Measure Date
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",1,10,2020/03/24
All American,TV Show,,,1,9,2020/03/24
Self Made: Inspired by the …,TV Show,Yes,"Mar 20, 2020",1,8,2020/03/24
Love is Blind,TV Show,Yes,"Feb 13, 2020",1,7,2020/03/24
Spenser Confidential,Movie,Yes,"Mar 6, 2020",1,6,2020/03/24
The Letter for the King,TV Show,Yes,"Mar 20, 2020",1,5,2020/03/24
The Boss Baby: Back in Busi…,TV Show,Yes,"Mar 16, 2020",1,4,2020/03/24
El Hoyo,Movie,Yes,"Mar 20, 2020",1,3,2020/03/24
100 Humans,TV Show,Yes,"Mar 13, 2020",1,2,2020/03/24
On My Block,TV Show,Yes,"Mar 11, 2020",1,1,2020/03/24
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",2,20,2020/03/25
All American,TV Show,,,2,18,2020/03/25
Self Made: Inspired by the …,TV Show,Yes,"Mar 20, 2020",2,16,2020/03/25
El Hoyo,Movie,Yes,"Mar 20, 2020",2,10,2020/03/25
Love is Blind,TV Show,Yes,"Feb 13, 2020",2,13,2020/03/25
Tom Segura: Ball Hog,Movie,Yes,,1,5,2020/03/25
The Letter for the King,TV Show,Yes,"Mar 20, 2020",2,9,2020/03/25
The Boss Baby: Back in Busi…,TV Show,Yes,"Mar 16, 2020",2,7,2020/03/25
Spenser Confidential,Movie,Yes,"Mar 6, 2020",2,8,2020/03/25
100 Humans,TV Show,Yes,"Mar 13, 2020",2,3,2020/03/25
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",3,30,2020/03/26
All American,TV Show,,,3,27,2020/03/26
Self Made: Inspired by the …,TV Show,Yes,"Mar 20, 2020",3,24,2020/03/26
El Hoyo,Movie,Yes,"Mar 20, 2020",3,17,2020/03/26
Tom Segura: Ball Hog,Movie,Yes,,2,11,2020/03/26
Love is Blind,TV Show,Yes,"Feb 13, 2020",3,18,2020/03/26
The Letter for the King,TV Show,Yes,"Mar 20, 2020",3,13,2020/03/26
The Boss Baby: Back in Busi…,TV Show,Yes,"Mar 16, 2020",3,10,2020/03/26
100 Humans,TV Show,Yes,"Mar 13, 2020",3,5,2020/03/26
Spenser Confidential,Movie,Yes,"Mar 6, 2020",3,9,2020/03/26
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",4,40,2020/03/27
All American,TV Show,,,4,36,2020/03/27
Self Made: Inspired by the …,TV Show,Yes,"Mar 20, 2020",4,32,2020/03/27
El Hoyo,Movie,Yes,"Mar 20, 2020",4,24,2020/03/27
Love is Blind,TV Show,Yes,"Feb 13, 2020",4,24,2020/03/27
Tom Segura: Ball Hog,Movie,Yes,,3,16,2020/03/27
The Letter for the King,TV Show,Yes,"Mar 20, 2020",4,17,2020/03/27
Hogar,Movie,Yes,"Mar 25, 2020",1,3,2020/03/27
The Boss Baby: Back in Busi…,TV Show,Yes,"Mar 16, 2020",4,12,2020/03/27
100 Humans,TV Show,Yes,"Mar 13, 2020",4,6,2020/03/27
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",5,50,2020/03/30
Ozark,TV Show,Yes,"Mar 27, 2020",1,9,2020/03/30
All American,TV Show,,,5,44,2020/03/30
Blood Father,Movie,,,1,7,2020/03/30
El Hoyo,Movie,Yes,"Mar 20, 2020",5,30,2020/03/30
Uncorked,Movie,Yes,"Mar 27, 2020",1,5,2020/03/30
Badland,Movie,,,1,4,2020/03/30
Car Masters: Rust to Riches,TV Show,Yes,"Mar 27, 2020",1,3,2020/03/30
Self Made: Inspired by the …,TV Show,Yes,"Mar 20, 2020",5,34,2020/03/30
Love is Blind,TV Show,Yes,"Feb 13, 2020",5,25,2020/03/30
"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",6,60,2020/03/31
Ozark,TV Show,Yes,"Mar 27, 2020",2,18,2020/03/31
All American,TV Show,,,6,52,2020/03/31
Blood Father,Movie,,,2,14,2020/03/31
El Hoyo,Movie,Yes,"Mar 20, 2020",6,36,2020/03/31
Car Masters: Rust to Riches,TV Show,Yes,"Mar 27, 2020",2,8,2020/03/31
Love is Blind,TV Show,Yes,"Feb 13, 2020",6,29,2020/03/31
Badland,Movie,,,2,7,2020/03/31
Uncorked,Movie,Yes,"Mar 27, 2020",2,7,2020/03/31
Unorthodox,TV Show,Yes,"Mar 26, 2020",1,1,2020/03/31
