Title,Type,Netflix Excl.,Netflix Release Date,Days In Top 10,Viewer- Ship Score,Measure Date
Holidate,Movie,Yes,"Oct 28, 2020",4,40,2020/11/01
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",9,77,2020/11/01
Rogue City,Movie,Yes,"Oct 30, 2020",2,11,2020/11/01
His House,Movie,Yes,"Oct 30, 2020",2,8,2020/11/01
Hubie Halloween,Movie,Yes,"Oct 7, 2020",18,140,2020/11/01
Secrets of the Saqqara Tomb,Movie,Yes,"Oct 28, 2020",3,15,2020/11/01
Over the Moon,Movie,Yes,"Oct 23, 2020",9,64,2020/11/01
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",23,177,2020/11/01
Blood of Zeus,TV Show,Yes,"Oct 27, 2020",4,24,2020/11/01
Barbarians,TV Show,Yes,"Oct 23, 2020",9,56,2020/11/01
Holidate,Movie,Yes,"Oct 28, 2020",5,50,2020/11/02
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",10,86,2020/11/02
Rogue City,Movie,Yes,"Oct 30, 2020",3,19,2020/11/02
His House,Movie,Yes,"Oct 30, 2020",3,15,2020/11/02
Secrets of the Saqqara Tomb,Movie,Yes,"Oct 28, 2020",4,21,2020/11/02
Over the Moon,Movie,Yes,"Oct 23, 2020",10,69,2020/11/02
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",24,181,2020/11/02
Barbarians,TV Show,Yes,"Oct 23, 2020",10,59,2020/11/02
Blood of Zeus,TV Show,Yes,"Oct 27, 2020",5,26,2020/11/02
Hubie Halloween,Movie,Yes,"Oct 7, 2020",19,141,2020/11/02
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",11,96,2020/11/03
Holidate,Movie,Yes,"Oct 28, 2020",6,59,2020/11/03
Knock Knock,Movie,,,1,8,2020/11/03
Rogue City,Movie,Yes,"Oct 30, 2020",4,26,2020/11/03
Cocomelon,TV Show,,"Jun 1, 2020",45,101,2020/11/03
Over the Moon,Movie,Yes,"Oct 23, 2020",11,74,2020/11/03
His House,Movie,Yes,"Oct 30, 2020",4,19,2020/11/03
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",25,184,2020/11/03
Grand Army,TV Show,Yes,"Oct 16, 2020",11,36,2020/11/03
Secrets of the Saqqara Tomb,Movie,Yes,"Oct 28, 2020",5,22,2020/11/03
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",12,106,2020/11/04
Holidate,Movie,Yes,"Oct 28, 2020",7,68,2020/11/04
Knock Knock,Movie,,,2,16,2020/11/04
Rogue City,Movie,Yes,"Oct 30, 2020",5,33,2020/11/04
Cocomelon,TV Show,,"Jun 1, 2020",46,107,2020/11/04
