Title,Type,Netflix Excl.,Netflix Release Date,Days In Top 10,Viewer- Ship Score,Measure Date
American Murder: The Family…,Movie,Yes,"Sep 30, 2020",1,10,2020/10/01
Ratched,TV Show,Yes,"Sep 18, 2020",13,127,2020/10/01
Bad Teacher,Movie,,"May 27, 2013",4,29,2020/10/01
Enola Holmes,Movie,Yes,"Sep 30, 2020",8,71,2020/10/01
The Good Place,TV Show,,,5,29,2020/10/01
Real Steel,Movie,,"Sep 24, 2020",7,52,2020/10/01
Welcome to Sudden Death,Movie,,"Sep 29, 2020",1,4,2020/10/01
Cocomelon,TV Show,,"Jun 1, 2020",21,50,2020/10/01
Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",13,91,2020/10/01
Wentworth,TV Show,,,1,1,2020/10/01
American Murder: The Family…,Movie,Yes,"Sep 30, 2020",2,20,2020/10/02
Ratched,TV Show,Yes,"Sep 18, 2020",14,136,2020/10/02
The Outpost,Movie,,,1,8,2020/10/02
Enola Holmes,Movie,Yes,"Sep 30, 2020",9,78,2020/10/02
The Good Place,TV Show,,,6,35,2020/10/02
Welcome to Sudden Death,Movie,,"Sep 29, 2020",2,9,2020/10/02
Wentworth,TV Show,,,2,5,2020/10/02
Bad Teacher,Movie,,"May 27, 2013",5,32,2020/10/02
Yogi Bear,Movie,,"Oct 1, 2020",1,2,2020/10/02
Cocomelon,TV Show,,"Jun 1, 2020",22,51,2020/10/02
American Murder: The Family…,Movie,Yes,"Sep 30, 2020",3,30,2020/10/03
Ratched,TV Show,Yes,"Sep 18, 2020",15,145,2020/10/03
The Outpost,Movie,,,2,16,2020/10/03
Emily in Paris,TV Show,Yes,"Oct 2, 2020",1,7,2020/10/03
Enola Holmes,Movie,Yes,"Sep 30, 2020",10,84,2020/10/03
Welcome to Sudden Death,Movie,,"Sep 29, 2020",3,14,2020/10/03
The Great British Baking Show,TV Show,Yes,,2,8,2020/10/03
Wentworth,TV Show,,,3,8,2020/10/03
The Good Place,TV Show,,,7,37,2020/10/03
Cocomelon,TV Show,,"Jun 1, 2020",23,52,2020/10/03
American Murder: The Family…,Movie,Yes,"Sep 30, 2020",4,40,2020/10/04
Emily in Paris,TV Show,Yes,"Oct 2, 2020",2,16,2020/10/04
Ratched,TV Show,Yes,"Sep 18, 2020",16,153,2020/10/04
The Outpost,Movie,,,3,23,2020/10/04
Schitt's Creek,TV Show,,,1,6,2020/10/04
Enola Holmes,Movie,Yes,"Sep 30, 2020",11,89,2020/10/04
Welcome to Sudden Death,Movie,,"Sep 29, 2020",4,18,2020/10/04
Wentworth,TV Show,,,4,11,2020/10/04
