Title,Type,Netflix Excl.,Netflix Release Date,Days In Top 10,Viewer- Ship Score,Measure Date
Cobra Kai,TV Show,Yes,,3,30,2020/09/01
The Frozen Ground,Movie,,,2,18,2020/09/01
Lucifer,TV Show,Yes,,10,95,2020/09/01
Million Dollar Beach House,TV Show,Yes,"Aug 26, 2020",5,36,2020/09/01
I Am a Killer: Released,TV Show,Yes,"Aug 28, 2020",3,20,2020/09/01
Cocomelon,TV Show,,"Jun 1, 2020",4,11,2020/09/01
The Umbrella Academy,TV Show,Yes,"Jul 31, 2020",29,231,2020/09/01
Bunk'd,TV Show,,,4,19,2020/09/01
Quantum of Solace,Movie,,,1,2,2020/09/01
Hoops,TV Show,Yes,"Aug 21, 2020",9,43,2020/09/01
Cobra Kai,TV Show,Yes,,4,40,2020/09/02
The Smurfs,Movie,,,1,9,2020/09/02
"Sister, Sister",TV Show,,,1,8,2020/09/02
Lucifer,TV Show,Yes,,11,102,2020/09/02
The Frozen Ground,Movie,,,3,24,2020/09/02
Quantum of Solace,Movie,,,2,7,2020/09/02
Cocomelon,TV Show,,"Jun 1, 2020",5,15,2020/09/02
Million Dollar Beach House,TV Show,Yes,"Aug 26, 2020",6,39,2020/09/02
The Umbrella Academy,TV Show,Yes,"Jul 31, 2020",30,233,2020/09/02
Due Date,Movie,,,1,1,2020/09/02
Cobra Kai,TV Show,Yes,,5,50,2020/09/03
The Smurfs,Movie,,,2,18,2020/09/03
"Sister, Sister",TV Show,,,2,16,2020/09/03
Lucifer,TV Show,Yes,,12,109,2020/09/03
The Frozen Ground,Movie,,,4,30,2020/09/03
Quantum of Solace,Movie,,,3,12,2020/09/03
Cocomelon,TV Show,,"Jun 1, 2020",6,19,2020/09/03
Million Dollar Beach House,TV Show,Yes,"Aug 26, 2020",7,42,2020/09/03
The Umbrella Academy,TV Show,Yes,"Jul 31, 2020",31,235,2020/09/03
Due Date,Movie,,,2,2,2020/09/03
Cobra Kai,TV Show,Yes,,6,60,2020/09/04
The Smurfs,Movie,,,3,27,2020/09/04
"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",1,8,2020/09/04
"Sister, Sister",TV Show,,,3,23,2020/09/04
Due Date,Movie,,,3,8,2020/09/04
Chef's Table,TV Show,Yes,"Sep 2, 2020",1,5,2020/09/04
Lucifer,TV Show,Yes,,13,113,2020/09/04
The Boss Baby: Get That Baby!,Movie,Yes,"Sep 1, 2020",1,3,2020/09/04
The Frozen Ground,Movie,,,5,32,2020/09/04
Cocomelon,TV Show,,"Jun 1, 2020",7,20,2020/09/04
Cobra Kai,TV Show,Yes,,7,70,2020/09/05
"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",2,17,2020/09/05
The Smurfs,Movie,,,4,35,2020/09/05
Away,TV Show,Yes,"Sep 4, 2020",1,7,2020/09/05
Due Date,Movie,,,4,14,2020/09/05
"Sister, Sister",TV Show,,,4,28,2020/09/05
Chef's Table,TV Show,Yes,"Sep 2, 2020",2,9,2020/09/05
Lucifer,TV Show,Yes,,14,116,2020/09/05
The Boss Baby: Get That Baby!,Movie,Yes,"Sep 1, 2020",2,5,2020/09/05
Cocomelon,TV Show,,"Jun 1, 2020",8,21,2020/09/05
Cobra Kai,TV Show,Yes,,8,80,2020/09/06
Away,TV Show,Yes,"Sep 4, 2020",2,16,2020/09/06
"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",3,25,2020/09/06
The Smurfs,Movie,,,5,42,2020/09/06
Due Date,Movie,,,5,20,2020/09/06
"Sister, Sister",TV Show,,,5,33,2020/09/06
Chef's Table,TV Show,Yes,"Sep 2, 2020",3,13,2020/09/06
The Boss Baby: Get That Baby!,Movie,Yes,"Sep 1, 2020",3,8,2020/09/06
Lucifer,TV Show,Yes,,15,118,2020/09/06
Cocomelon,TV Show,,"Jun 1, 2020",9,22,2020/09/06
Away,TV Show,Yes,"Sep 4, 2020",3,26,2020/09/07
Cobra Kai,TV Show,Yes,,9,89,2020/09/07
"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",4,33,2020/09/07
Due Date,Movie,,,6,27,2020/09/07
The Smurfs,Movie,,,6,48,2020/09/07
Chef's Table,TV Show,Yes,"Sep 2, 2020",4,18,2020/09/07
"Sister, Sister",TV Show,,,6,37,2020/09/07
Lucifer,TV Show,Yes,,16,121,2020/09/07
Anaconda,Movie,,"Sep 1, 2020",1,2,2020/09/07
Puss in Boots,Movie,,,1,1,2020/09/07
Away,TV Show,Yes,"Sep 4, 2020",4,36,2020/09/08
Cobra Kai,TV Show,Yes,,10,98,2020/09/08
"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",5,41,2020/09/08
Due Date,Movie,,,7,34,2020/09/08
The Smurfs,Movie,,,7,54,2020/09/08
Chef's Table,TV Show,Yes,"Sep 2, 2020",5,23,2020/09/08
"Sister, Sister",TV Show,,,7,41,2020/09/08
Lucifer,TV Show,Yes,,17,124,2020/09/08
