Title,IMDb rating
Les évadés,9.2
Le parrain,9.1
"Le parrain, 2ème partie",9.0
The Dark Knight: Le chevalier noir,9.0
12 hommes en colère,8.9
La liste de Schindler,8.9
Le Seigneur des anneaux : Le Retour du roi,8.9
Pulp Fiction,8.8
"Le Bon, la brute, le truand",8.8
Le Seigneur des anneaux : La Communauté de l'anneau,8.8
Fight Club,8.8
Forrest Gump,8.8
Inception,8.7
Le Seigneur des anneaux : Les Deux Tours,8.7
L'Empire contre-attaque,8.7
Matrix,8.6
Les affranchis,8.6
Vol au-dessus d'un nid de coucou,8.6
Les sept samouraïs,8.6
Seven,8.6
La vie est belle,8.6
La Cité de Dieu,8.6
Le Silence des agneaux,8.6
Star Wars: Épisode IV - Un nouvel espoir,8.6
Il faut sauver le soldat Ryan,8.5
Le voyage de Chihiro,8.5
La ligne verte,8.5
Interstellar,8.5
Parasite,8.5
Léon,8.5
Usual Suspects,8.5
Harakiri,8.5
The Lion King,8.5
Le pianiste,8.5
Retour vers le futur,8.5
Terminator 2 : Le Jugement dernier,8.5
American History X,8.5
Les temps modernes,8.5
Psychose,8.5
Gladiator,8.5
Les lumières de la ville,8.5
Les infiltrés,8.5
Intouchables,8.5
Whiplash,8.5
Le prestige,8.5
Le tombeau des lucioles,8.5
Il était une fois dans l'Ouest,8.4
Hamilton,8.4
Casablanca,8.4
Cinéma Paradiso,8.4
Fenêtre sur cour,8.4
Alien - Le 8ème passager,8.4
Apocalypse Now,8.4
Memento,8.4
Le dictateur,8.4
Les Aventuriers de l'arche perdue,8.4
Django Unchained,8.4
La vie des autres,8.4
Joker,8.4
Les sentiers de la gloire,8.4
WALL·E,8.4
Shining,8.4
Avengers: Infinity War,8.4
Boulevard du Crépuscule,8.4
Témoin à charge,8.4
Old Boy,8.4
Spider-Man: New Generation,8.4
Princesse Mononoké,8.4
Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !,8.3
The Dark Knight Rises,8.3
Il était une fois en Amérique,8.3
Aliens - Le retour,8.3
Your Name.,8.3
Avengers: Endgame,8.3
Coco,8.3
American Beauty,8.3
Braveheart,8.3
3 Idiots,8.3
Le Bateau,8.3
Toy Story,8.3
Entre le ciel et l'enfer,8.3
Capernaum,8.3
Amadeus,8.3
Inglourious Basterds,8.3
Le Retour du Jedi,8.3
Taare Zameen Par,8.3
Will Hunting,8.3
Reservoir Dogs,8.3
2001: L'odyssée de l'espace,8.3
Requiem for a Dream,8.3
Sueurs froides,8.3
M le maudit,8.3
Eternal Sunshine of the Spotless Mind,8.3
La chasse,8.3
Citizen Kane,8.3
Dangal,8.3
Full Metal Jacket,8.2
1917,8.2
Voleur de bicyclette,8.2
Chantons sous la pluie,8.2
Le Kid,8.2
La mort aux trousses,8.2
Orange mécanique,8.2
Snatch - Tu braques ou tu raques,8.2
Scarface,8.2
Vivre,8.2
Taxi Driver,8.2
Lawrence d'Arabie,8.2
Toy Story 3,8.2
Le fabuleux destin d'Amélie Poulain,8.2
Requiem pour un massacre - Va et regarde,8.2
L'Arnaque,8.2
Une séparation,8.2
Metropolis,8.2
Incendies,8.2
...et pour quelques dollars de plus,8.2
La garçonnière,8.2
Assurance sur la mort,8.2
Du silence et des ombres...,8.2
Là-haut,8.2
Indiana Jones et la dernière croisade,8.2
Heat,8.2
L.A. Confidential,8.2
Piège de cristal,8.2
Monty Python : Sacré Graal !,8.2
Green Book: Sur les routes du Sud,8.2
Le garde du corps,8.2
Rashomon,8.2
Batman Begins,8.2
La chute,8.2
Les enfants du ciel,8.2
Impitoyable,8.2
Ran,8.2
Certains l'aiment chaud,8.2
Le château ambulant,8.2
Ève...,8.2
Un homme d'exception,8.2
Casino,8.2
La grande évasion,8.2
Le loup de Wall Street,8.2
Le labyrinthe de Pan,8.2
Dans ses yeux,8.1
"Arnaques, crimes et botanique",8.1
There Will Be Blood,8.1
Mon voisin Totoro,8.1
Raging Bull,8.1
Jugement à Nuremberg,8.1
Le Trésor de la Sierra Madre,8.1
Le crime était presque parfait,8.1
3 Billboards: Les panneaux de la vengeance,8.1
La ruée vers l'or,8.1
Chinatown,8.1
Shutter Island,8.1
Mon père et mon fils,8.1
"No Country for Old Men - Non, ce pays n'est pas pour le vieil homme",8.1
V pour vendetta,8.1
Anand,8.1
Le septième sceau,8.1
Vice-versa,8.1
Warrior,8.1
Elephant Man,8.1
The Thing,8.1
Sixième sens,8.1
Trainspotting,8.1
Jurassic Park,8.1
The Truman Show,8.1
Autant en emporte le vent,8.1
Le Monde de Nemo,8.1
Les fraises sauvages,8.1
Blade Runner,8.1
Stalker,8.1
Kill Bill: Volume I,8.1
Le pont de la rivière Kwaï,8.1
Memories of Murder,8.1
Fargo,8.1
Room,8.1
La légende de Klaus,8.1
Gran Torino,8.1
Le troisième homme,8.1
Voyage à Tokyo,8.1
Sur les quais...,8.1
Les Nouveaux Sauvages,8.1
Sonate d'automne,8.1
Voyage au bout de l'enfer,8.1
Au nom du père,8.1
Mary et Max.,8.1
Gone Girl,8.1
The Grand Budapest hotel,8.1
Tu ne tueras point,8.1
Before Sunrise,8.1
Arrête-moi si tu peux,8.1
Andhadhun,8.1
Persona,8.1
The Big Lebowski,8.1
Prisoners,8.1
Sherlock Junior,8.1
Jeux dangereux,8.1
Le mécano de la Générale,8.1
Dragons,8.1
Eskiya le bandit,8.1
Le Mans '66,8.1
12 Years a Slave,8.1
