Title,IMDb rating
Planet Earth II,9.5
Planète Terre,9.4
Frères d'armes,9.4
Breaking Bad,9.4
Chernobyl,9.4
Sur écoute,9.3
Blue Planet II,9.3
Notre planète,9.3
Cosmos: Une odyssée à travers l'univers,9.2
Cosmos,9.2
Game of Thrones,9.2
"Avatar, le dernier maître de l'air",9.2
Rick et Morty,9.2
Les Soprano,9.2
The Last Dance,9.1
The World at War,9.1
SCAM 1992: The Harshad Mehta Story,9.1
"Life, l'aventure de la vie",9.1
Fullmetal Alchemist: Brotherhood,9.1
The Vietnam War,9.1
Sherlock,9.0
La quatrième dimension,9.0
Planète des hommes,9.0
Sahsiyet,9.0
The Blue Planet,9.0
The Beatles Anthology,9.0
Batman,8.5
Terres de glace,9.0
Firefly,9.0
Le décalogue,8.9
True Detective,8.9
Death Note,8.9
The Civil War,8.9
Apocalypse: La 2ème guerre mondiale,8.9
Cowboy Bebop,8.9
Fargo,8.9
Afrique sauvage,8.9
Dans leur regard,8.9
Last Week Tonight with John Oliver,8.9
Hunter x Hunter,8.5
Only Fools and Horses....,8.8
TVF Pitchers,8.8
The Office,8.5
Souvenirs de Gravity Falls,8.8
Friends,8.8
Le bateau,8.8
Seinfeld,8.8
Monty Python's Flying Circus,8.8
Orgueil et préjugés,8.8
Nathan for You,8.8
Black Mirror,8.8
How the Universe Works,8.8
Twin Peaks,8.8
La Forêt de l'Étrange,8.8
Ramayan,8.8
L'attaque des titans,8.8
Narcos,8.7
One Punch Man,8.7
Blackadder Goes Forth,8.7
Peaky Blinders,8.7
Chappelle's Show,8.7
Freaks & Geeks,8.7
L'hôtel en folie,8.7
Dark,8.7
Kota Factory,8.7
Philadelphia,8.7
Dragon Ball Z,8.7
Steins;Gate,8.7
À la maison blanche,8.7
Rome,8.7
Stranger Things,8.7
Better Call Saul,8.7
Arrested development - Les nouveaux pauvres,8.7
Leyla ile Mecnun,8.7
Oz,8.7
Larry et son nombril,8.7
Vratice se rode,8.7
Soleil noir,8.7
Moi Claude empereur,8.7
BoJack Horseman,8.7
The Boys,8.7
Fleabag,8.7
Mahabharat,8.7
House of Cards,8.7
Vinland Saga,8.7
La fabuleuse Mme Maisel,8.7
Justice League Unlimited,8.7
The Promised Neverland,8.7
Le jeu de la dame,8.7
Les aventures de Sherlock Holmes,8.7
One Strange Rock,8.7
The Mandalorian,8.7
Still Game,8.6
Six pieds sous terre,8.6
South Park,8.6
The Thick of It,8.6
L'Univers,8.6
Sarabhai V/S Sarabhai,8.6
The Jinx: The Life and Deaths of Robert Durst,8.6
The Crown,8.6
One Piece,8.6
Les Simpson,8.6
The Return of Sherlock Holmes,8.6
Dr House,8.6
Demon Slayer,8.6
Battlestar Galactica,8.6
Critical Role,8.6
Westworld,8.6
The Shield,8.6
Ted Lasso,8.6
Top Gear,8.6
Yeh Meri Family,8.6
The Grand Tour,8.6
World War II in Colour,8.6
Berserk,8.6
Downton Abbey,8.6
Lonesome Dove,8.6
Bir Baskadir,8.6
Primal,8.6
This Is Us,8.6
Deadwood,8.6
Line of Duty,8.6
Cobra Kai,8.6
Atlanta,8.6
Star Trek: La nouvelle génération,8.6
The Bridge: Bron/Broen,8.6
The Haunting of Hill House,8.6
Aranyélet,8.6
Haikyuu!!,8.6
Blackadder II,8.6
Parks and Recreation,8.6
X Files: aux frontières du réel,8.6
The Memoirs of Sherlock Holmes,8.6
Code Geass: Lelouch of the Rebellion,8.6
The Eric Andre Show,8.6
Mad Men,8.6
Les Aventures de Sherlock Holmes et du docteur Waston: Le Chien des Baskerville,8.6
Friday Night Lights,8.6
Peep Show,8.6
Gomorra: La serie,8.6
Archer,8.6
Blackadder the Third,8.6
Kenshin le Vagabond - Le Chapitre de la Mémoire,8.6
Dexter,8.6
Mindhunter,8.6
La Ligue des justiciers: Nouvelle Génération,8.6
Formule 1: Pilotes de leur destin,8.6
Mister Rogers' Neighborhood,8.6
Succession,8.6
Father Ted,8.6
The Bugs Bunny Show,8.6
Voyage dans l'espace-temps,8.6
Anne with an E,8.6
Daredevil,8.6
Crash Landing on You,8.6
Long Way Round,8.6
QI,8.6
Le Bureau des Légendes,8.6
Nord et Sud,8.5
Mind Your Language,8.5
Behzat Ç.: Bir Ankara Polisiyesi,8.5
Making a Murderer,8.5
Monster,8.5
The Newsroom,8.5
Yes Minister,8.5
Content Cop,8.5
Umbre,8.5
Les allumés,8.5
Hercule Poirot,8.5
It's Okay to Not Be Okay,8.5
Panchayat,8.5
El Chavo del Ocho,8.5
Skam,8.5
Dragon Ball,8.5
Brass Eye,8.5
Pose,8.5
Justified,8.5
La Ligue des justiciers,8.5
Neon Genesis Evangelion,8.5
