,type,title,director,cast,date_added,year_added,release_year,duration,listed_in
3467,TV Show,Medical Police,,"Erinn Hayes, Rob Huebel, Malin Akerman, Rob Corddry, Lake Bell, Sarayu Blue, Ken Marino, Fred Melamed, Tom Wright, Jason Schwartzman, Eric Nenninger, Megan Le, Beth Dover, Zandy Hartig, Brian Huskey, Michael Cera","January 10, 2020",2020,2020,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies"
3220,TV Show,Dracula,,"Claes Bang, Dolly Wells, John Heffernan","January 4, 2020",2020,2020,1 Season,"British TV Shows, International TV Shows, TV Dramas"
3436,TV Show,The Healing Powers of Dude,,"Jace Chapman, Larisa Oleynik, Tom Everett Scott, Steve Zahn, Mauricio Lara, Sophie Kim, Laurel Emory","January 13, 2020",2020,2020,1 Season,"Kids' TV, TV Comedies, TV Dramas"
3189,TV Show,Cheer,,,"January 8, 2020",2020,2020,1 Season,"Docuseries, Reality TV, Teen TV Shows"
3464,TV Show,AJ and the Queen,,"RuPaul Charles, Izzy G., Michael-Leon Wooley, Josh Segarra, Katerina Tannenbaum, Tia Carrere","January 10, 2020",2020,2020,1 Season,"TV Comedies, TV Dramas"
3466,TV Show,Jamtara - Sabka Number Ayega,Soumendra Padhi,"Amit Sial, Dibyendu Bhattacharya, Aksha Pardhasany, Sparsh Shrivastava, Monika Panwar, Anshumaan Pushkar","January 10, 2020",2020,2020,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
3472,TV Show,Until Dawn,,"Ahmed Sylla, Alban Ivanov, Ornella Fleury, Natoo, Carlito, Mcfly, Djimo, Lola Dubini, Noom Diawara, Tania Dutel, Hakim Jemili, Jason Brokerss, Bérengère Krief, Thomas Vandenberghe, Monsieur Poulpe, Jhon Rachid, Audrey Pirault, Jeanfi Janssens, Fadily Camara, Laurie Peret, Issa Doumbia, Anne-Sophie Girard, Elhadj Gaye, Guillaume Bats","January 10, 2020",2020,2020,1 Season,"International TV Shows, Reality TV, TV Comedies"
3541,TV Show,Messiah,,"Michelle Monaghan, Mehdi Dehbi, John Ortiz, Tomer Sisley, Melinda Page Hamilton, Stefania LaVie Owen, Sayyid El Alami, Jane Adams, Wil Traval, Fares Landoulsi","January 1, 2020",2020,2020,1 Season,"TV Dramas, TV Thrillers"
1315,TV Show,Maradona in Mexico,,Diego Armando Maradona,"November 13, 2019",2019,2020,1 Season,"Docuseries, Spanish-Language TV Shows"
3546,TV Show,"Nisman: The Prosecutor, the President, and the Spy",Justin Webster,,"January 1, 2020",2020,2020,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
3562,TV Show,Spinning Out,,"Kaya Scodelario, January Jones, Will Kemp, Willow Shields, Evan Roderick, David James Elliott, Sarah Wright Olsen, Svetlana Efremova, Amanda Zhou, Mitchell Edwards, Kaitlyn Leeb, Johnny Weir","January 1, 2020",2020,2020,1 Season,TV Dramas
3573,TV Show,The Circle,,Michelle Buteau,"January 1, 2020",2020,2020,1 Season,Reality TV
3221,TV Show,Go! Go! Cory Carson,,"Alan C. Lim, Paul Killam, Maisie Benson, Kerry Gudjohnsen, Smith Foreman, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Jim Capobianco, Anna Chambers, Pfifer Chastain","January 4, 2020",2020,2020,1 Season,Kids' TV
3426,TV Show,Kipo and the Age of Wonderbeasts,,"Karen Fukuhara, Sydney Mikayla, Deon Cole, Coy Stewart, Dee Bradley Baker, Sterling K. Brown, Dan Stevens, Jake Green, Steve Blum","January 14, 2020",2020,2020,1 Season,"Kids' TV, TV Comedies"
3379,TV Show,Killer Inside: The Mind of Aaron Hernandez,,Aaron Hernandez,"January 15, 2020",2020,2020,1 Season,"Crime TV Shows, Docuseries"
3363,TV Show,Handsome Siblings,,"Hu Yitian, Chen Zheyuan, Liang Jie, Vicky Liang, Tay Ping Hui, Nikita Mao, Gallen Lo, Song Wenzuo, Jin Song, Jason Zheng","January 16, 2020",2020,2020,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
3353,TV Show,Ares,,"Jade Olieberg, Tobias Kersloot, Lisa Smit, Frieda Barnhard, Hans Kesting, Rifka Lodeizen, Robin Boissevain, Jennifer Welts, Steef de Bot, Jip van den Dool, Janni Goslinga, Dennis Rudge, Ian Bok, Roos Dickmann, Minne Koole, Alexander Brouwer","January 17, 2020",2020,2020,1 Season,"International TV Shows, TV Dramas, TV Horror"
3354,TV Show,Nailed It! Germany,,"Angelina Kirsch, Bernd Siefert","January 17, 2020",2020,2020,1 Season,"International TV Shows, Reality TV"
3325,TV Show,"Sex, Explained",,Janelle Monáe,"January 2, 2020",2020,2020,1 Season,"Docuseries, Science & Nature TV"
