,Type,Netflix Exclusive,Score
The Queen's Gambit,TV Show,Yes,381
Outer Banks,TV Show,Yes,259
Unsolved Mysteries,TV Show,Yes,242
The Umbrella Academy,TV Show,Yes,235
Cobra Kai,TV Show,Yes,217
"Tiger King: Murder, Mayhem …",TV Show,Yes,216
365 Dni,Movie,,206
Avatar the Last Airbender,TV Show,,196
Ratched,TV Show,Yes,192
Ozark,TV Show,Yes,187
Dead to Me,TV Show,Yes,179
The Haunting of Bly Manor,TV Show,Yes,177
Space Force,TV Show,Yes,174
Floor is Lava,TV Show,Yes,171
Cocomelon,TV Show,,167
Jeffrey Epstein: Filthy Rich,TV Show,Yes,165
The Crown,TV Show,Yes,158
Emily in Paris,TV Show,Yes,157
Away,TV Show,Yes,156
13 Reasons Why,TV Show,Yes,152
Shameless,TV Show,,146
Sweet Magnolias,TV Show,Yes,144
Hubie Halloween,Movie,Yes,140
Project Power,Movie,Yes,131
Lucifer,TV Show,Yes,128
The Last Dance,TV Show,,127
All American,TV Show,,125
Cursed,TV Show,Yes,119
American Murder: The Family…,Movie,Yes,117
Schitt's Creek,TV Show,,113
Riverdale,TV Show,,111
Warrior Nun,TV Show,Yes,111
The Old Guard,Movie,Yes,108
Virgin River,TV Show,Yes,108
The Order,TV Show,Yes,107
Down to Earth with Zac Efron,TV Show,Yes,104
The Wrong Missy,Movie,Yes,103
Dr. Seussâ The Grinch,Movie,,96
Enola Holmes,Movie,Yes,94
The Legend of Korra,TV Show,,92
Doctor Seuss' The Lorax,Movie,,92
Jurassic World: Camp Cretac…,TV Show,Yes,91
Never Have I Ever,TV Show,Yes,90
The Christmas Chronicles 2,Movie,Yes,88
The Kissing Booth 2,Movie,Yes,88
Hollywood,TV Show,Yes,80
The Lost Husband,Movie,,80
Extraction,Movie,Yes,77
The Impossible,Movie,,76
The Smurfs 2,Movie,,74
The Baby-Sitters Club,TV Show,Yes,73
Kevin Hart: Zero F**ks Given,Stand-Up Comedy,Yes,73
Uncut Gems,Movie,,69
The Smurfs,Movie,,66
Bastille Day,Movie,,66
Mile 22,Movie,,65
Fear City: New York vs The …,TV Show,Yes,65
Over the Moon,Movie,Yes,64
Fuller House,TV Show,Yes,64
Worldâs Most Wanted,TV Show,Yes,64
Oscuro Deseo,TV Show,Yes,62
Dangerous Lies,Movie,Yes,62
Fatal Affair,Movie,Yes,61
Animal Crackers,Movie,Yes,60
Too Hot to Handle,TV Show,Yes,60
Mr. Peabody & Sherman,Movie,,59
"Love, Guaranteed",Movie,Yes,59
Eurovision Song Contest: Th…,Movie,Yes,58
Cloudy with a Chance of Mea…,Movie,,58
Knock Knock,Movie,,58
The Nut Job,Movie,,58
Feel the Beat,Movie,Yes,58
The Seven Deadly Sins,TV Show,Yes,58
Evil,TV Show,,57
Chappelle's Show,TV Show,,57
Hillbilly Elegy,Movie,Yes,56
