;Type;Score;;
The Queen's Gambit;TV Show;381;;
Outer Banks;TV Show;259;;
Unsolved Mysteries;TV Show;242;;
The Umbrella Academy;TV Show;235;;
Cobra Kai;TV Show;217;;
Tiger King: Murder, Mayhem and Madness;TV Show;216;;
365 Dni;Movie;206;;
Avatar the Last Airbender;TV Show;196;;
Ratched;TV Show;192;;
Ozark;TV Show;187;;
Dead to Me;TV Show;179;;
The Haunting of Bly Manor;TV Show;177;;
Space Force;TV Show;174;;
Floor is Lava;TV Show;171;;
Cocomelon;TV Show;167;;
Jeffrey Epstein: Filthy Rich;TV Show;165;;
The Crown;TV Show;158;;
Emily in Paris;TV Show;157;;
Away;TV Show;156;;
13 Reasons Why;TV Show;152;;
Shameless;TV Show;146;;
Sweet Magnolias;TV Show;144;;
Hubie Halloween;Movie;140;;
Project Power;Movie;131;;
Lucifer;TV Show;128;;
The Last Dance;TV Show;127;;
All American;TV Show;125;;
Cursed;TV Show;119;;
American Murder: The Family Next Door;Movie;117;;
Schitt's Creek;TV Show;113;;
Riverdale;TV Show;111;;
Warrior Nun;TV Show;111;;
The Old Guard;Movie;108;;
Virgin River;TV Show;108;;
The Order;TV Show;107;;
Down to Earth with Zac Efron;TV Show;104;;
The Wrong Missy;Movie;103;;
Dr. Seuss's The Grinch;Movie;96;;
Enola Holmes;Movie;94;;
The Legend of Korra;TV Show;92;;
Doctor Seuss' The Lorax;Movie;92;;
Jurassic World: Camp Cretaceous;TV Show;91;;
Never Have I Ever;TV Show;90;;
The Christmas Chronicles 2;Movie;88;;
The Kissing Booth 2;Movie;88;;
Hollywood;TV Show;80;;
The Lost Husband;Movie;80;;
Extraction;Movie;77;;
The Impossible;Movie;76;;
The Smurfs 2;Movie;74;;
The Baby-Sitters Club;TV Show;73;;
Kevin Hart: Zero F**ks Given;Stand-Up Comedy;73;;
Uncut Gems;Movie;69;;
The Smurfs;Movie;66;;
Bastille Day;Movie;66;;
Mile 22;Movie;65;;
Fear City: New York vs The Mafia;TV Show;65;;
Over the Moon;Movie;64;;
Fuller House;TV Show;64;;
World's Most Wanted;TV Show;64;;
Oscuro Deseo;TV Show;62;;
Dangerous Lies;Movie;62;;
Fatal Affair;Movie;61;;
Animal Crackers;Movie;60;;
Too Hot to Handle;TV Show;60;;
Mr. Peabody & Sherman;Movie;59;;
Love Guaranteed;Movie;59;;
Eurovision Song Contest: The Story of Fire Saga;Movie;58;;
Cloudy with a Chance of Meatballs;Movie;58;;
Knock Knock;Movie;58;;
The Nut Job;Movie;58;;
Feel the Beat;Movie;58;;
The Seven Deadly Sins;TV Show;58;;
Evil;TV Show;57;;
Chappelle's Show;TV Show;57;;
Hillbilly Elegy;Movie;56;;
Barbarians;TV Show;56;;
Waco;TV Show;56;;
Da 5 Bloods;Movie;55;;
